# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A4GALT	chr22|173 (-34009)
CENPP	chr9|381 (+37235)
CENPW	chr6|506 (-286319), chr6|507 (-36319)
CEP112	chr17|255 (+562986)
CEP135	chr4|228 (+59854)
CEP152	chr15|197 (-21663)
CEP164	chr11|470 (+176430), chr11|471 (+426430)
CEP170	chr1|974 (+43351)
CEP350	chr1|720 (-48872)
CEP41	chr7|521 (-43923)
CEP57	chr11|383 (+101376)
CEP78	chr9|324 (+23878)
CEP85L	chr6|477 (-93763), chr6|476 (+156237)
CEP89	chr19|134 (+87868)
CEP95	chr17|251 (+122295)
CEPT1	chr1|447 (-57248)
CERK	chr22|189 (+9157)
CERS3	chr15|405 (-40076)
CERS6	chr2|677 (-187758), chr2|678 (+62242), chr2|679 (+312242)
CETN3	chr5|359 (+80602)
CFC1B	chr2|525 (-153769)
CFDP1	chr16|302 (+92382)
CFL2	chr14|141 (+58033)
CGNL1	chr15|232 (+206298)
CHAC2	chr2|216 (-119928)
CHADL	chr22|167 (+11937)
CHAT	chr10|204 (+52918)
CHCHD3	chr7|532 (-108159)
CHCHD5	chr2|454 (+32983)
CHCHD6	chr3|507 (+201938)
CHCHD7	chr8|229 (+686)
CHD1	chr5|394 (-112761), chr5|393 (+137239)
CHD2	chr15|374 (-68057)
CHD7	chr8|248 (+283664)
CHD9	chr16|213 (+36056), chr16|214 (+286056)
CHDH	chr3|216 (+5416), chr3|215 (+255416)
CHEK2	chr22|117 (+12825)
CHGA	chr14|374 (-14424)
CHIA	chr1|448 (+41463)
CHIC1	chrX|292 (+91957), chrX|293 (+341957)
CHM	chrX|342 (-72435)
CHMP2A	chr19|237 (+1513)
CHMP3	chr2|348 (+73244)
CHMP6	chr17|315 (-340640), chr17|316 (-90640)
CHN1	chr2|704 (-5047)
CHPT1	chr12|409 (+33596)
CHRAC1	chr8|567 (+103604)
CHRD	chr3|737 (+27140)
CHRDL1	chrX|439 (+414038)
CHRDL2	chr11|298 (+67219)
CHRM1	chr11|251 (+64152)
CHRNA1	chr2|703 (+4188)
CHRNA3	chr15|316 (+38520)
CHRNA5	chr15|316 (+17139)
CHRNA6	chr8|171 (-1072)
CHST1	chr11|182 (+312171)
CHST11	chr12|420 (+24250)
CHST2	chr3|572 (+36828), chr3|573 (+286828)
CHSY1	chr15|407 (+167136)
CHURC1	chr14|262 (-6078)
CIB2	chr15|314 (+48885)
CISD2	chr4|416 (+84866)
CIT	chr12|482 (-59906), chr12|481 (+190094)
CITED4	chr1|166 (-46983)
CKAP2	chr13|213 (+95399)
CKAP4	chr12|427 (+16765)
CKAP5	chr11|188 (-7221)
CKS2	chr9|368 (-51112)
CLASP1	chr2|490 (+32051), chr2|489 (+282051)
CLCN3	chr4|683 (+83324)
CLDN10	chr13|385 (-79978)
CLDN11	chr3|681 (-11652)
CLDN14	chr21|152 (-22613)
CLDN18	chr3|551 (-103841)
CLDND2	chr19|208 (-2744)
CLEC18A	chr16|280 (-110082), chr16|281 (+139918)
CLEC18B	chr16|299 (-169711)
CLEC2L	chr7|558 (+166399)
CLEC3A	chr16|312 (-181411)
CLGN	chr4|566 (-25879)
CLIC5	chr6|184 (+173131), chr6|183 (+423131), chr6|182 (+673131)
CLIC6	chr21|145 (+83313), chr21|146 (+333313)
CLINT1	chr5|630 (-88850)
CLIP1	chr12|492 (-9960)
CLLU1	chr12|371 (-192734)
CLMN	chr14|384 (-88758)
CLNS1A	chr11|310 (-26151)
CLOCK	chr4|226 (+1193)
CLRN1	chr3|603 (+65494)
CLSPN	chr1|145 (+110528)
CLSTN2	chr3|559 (-29026)
CLVS1	chr8|248 (-325513), chr8|251 (+424487)
CLVS2	chr6|493 (-192115)
CLYBL	chr13|402 (+116078)
CMIP	chr16|326 (-103774), chr16|327 (+146226)
CMKLR1	chr12|436 (-141907)
CMPK1	chr1|192 (+75532)
CMTM2	chr16|267 (+11641)
CMTM3	chr16|267 (-12934)
CMTM7	chr3|130 (-58162)
CMTM8	chr3|130 (+94830)
CNEP1R1	chr16|200 (-183320), chr16|201 (+66680)
CNFN	chr19|172 (+19438)
CNGB1	chr16|232 (+130015)
CNGB3	chr8|351 (+130902)
CNIH	chr14|220 (+33148)
CNOT1	chr16|235 (+38789)
CNOT10	chr3|131 (-112040)
CNOT11	chr2|408 (+5737)
CNOT2	chr12|283 (-11776)
CNOT3	chr19|219 (-20111)
CNOT4	chr7|541 (+69874)
CNOT6	chr5|720 (-46432)
CNOT6L	chr4|315 (+115543)
CNP	chr17|161 (+6242)
CNST	chr1|988 (+145253)
CNTF	chr11|234 (-15145)
CNTN2	chr1|820 (-137324)
CNTN3	chr3|302 (-804710)
CNTNAP1	chr17|164 (+40370)
CNTRL	chr9|496 (+37711)
COA5	chr2|397 (+99954)
COA6	chr1|937 (-384428)
COG3	chr13|185 (+85941)
COG6	chr13|164 (+645187)
COG7	chr16|94 (+89500)
COG8	chr16|278 (-1431)
COL13A1	chr10|287 (+63313)
COL14A1	chr8|486 (+237654)
COL15A1	chr9|407 (-80920)
COL17A1	chr10|424 (-29241)
COL18A1	chr21|188 (-402)
COL19A1	chr6|283 (+48538)
COL21A1	chr6|226 (-262457)
COL27A1	chr9|468 (-42839)
COL2A1	chr12|194 (+23268)
COL4A2	chr13|445 (+165387)
COL4A5	chrX|432 (+191889)
COL4A6	chrX|430 (+307701)
COL5A3	chr19|41 (-3854)
COL6A1	chr21|189 (-276650), chr21|190 (-26650)
COL6A5	chr3|521 (+60642)
COL6A6	chr3|521 (-154177)
COL8A1	chr3|399 (+267682)
COL9A1	chr6|285 (-112215), chr6|283 (+387785)
COLGALT2	chr1|736 (+131862)
COMMD1	chr2|249 (-7781), chr2|250 (+242219)
COMMD10	chr5|462 (-45687), chr5|463 (+204313), chr5|464 (+454313)
COMMD5	chr8|585 (-45880)
COMMD8	chr4|190 (+90735)
COMP	chr19|76 (+27122)
COMT	chr22|80 (-54129)
COMTD1	chr10|309 (-129232)
COPB2	chr3|557 (-16427), chr3|556 (+233573)
COPG2	chr7|522 (-21403)
COPRS	chr17|121 (+61355)
COPS2	chr15|198 (+72857)
COQ2	chr4|337 (+81066)
CORIN	chr4|192 (-35035)
CORO1C	chr12|437 (+371)
CORO2B	chr15|276 (+3428)
CORO6	chr17|113 (-175084)
COTL1	chr16|339 (+26682)
COX18	chr4|296 (+60457)
COX20	chr1|980 (-123623)
COX4I1	chr16|344 (+41702)
COX6B2	chr19|224 (-8922)
COX7A2L	chr2|171 (-28851)
COX7C	chr5|344 (-38772)
CP	chr3|596 (+64841)
CPA2	chr7|520 (-31666)
CPA3	chr3|595 (+41958)
CPA6	chr8|275 (+33579), chr8|274 (+283579)
CPE	chr4|666 (+74907)
CPEB1	chr15|334 (-58273)
CPM	chr12|279 (-298022), chr12|278 (-48022)
CPN1	chr10|408 (-33367)
CPNE3	chr8|351 (+98345)
CPQ	chr8|391 (-32454)
CPSF2	chr14|371 (+36720)
CPSF6	chr12|278 (-258316), chr12|279 (-8316)
CPT1A	chr11|275 (-15617)
CPT2	chr1|215 (-37100)
CR1L	chr1|832 (+56482)
CR2	chr1|831 (-2574)
CRABP1	chr15|315 (-7665)
CRADD	chr12|377 (+53508)
CRB1	chr1|791 (+387593)
CRB2	chr9|505 (+6462), chr9|507 (+506462)
CRCP	chr7|263 (+45409)
CREB1	chr2|833 (-269615), chr2|834 (-19615)
CREB3L1	chr11|186 (+75789)
CREB3L2	chr7|551 (+61802)
CREBZF	chr11|342 (+1145)
CREM	chr10|142 (-41387)
CRH	chr8|269 (-34041)
CRIPT	chr2|188 (+30711)
CRISPLD1	chr8|306 (+478251)
CRISPLD2	chr16|340 (+21411)
CRNKL1	chr20|81 (-88311)
CROT	chr7|348 (-99996)
CRTC1	chr19|76 (+80513)
CRTC3	chr15|365 (+51701)
CRY2	chr11|184 (+6044)
CRYAA	chr21|179 (+35883)
CRYBA2	chr2|880 (-16866)
CRYBA4	chr22|109 (+107073), chr22|110 (+357073)
CSE1L	chr20|191 (-37848)
CSF1	chr1|442 (-78254)
CSF2RB	chr22|150 (+65331)
CSGALNACT2	chr10|175 (-8933)
CSNK1A1	chr5|596 (+55526)
CSNK1G3	chr5|492 (+27208)
CSPG4	chr15|305 (-119812)
CSRP2	chr12|310 (-102161)
CST7	chr20|100 (-54865)
CSTF2T	chr10|214 (+84354)
CSTF3	chr11|133 (+58010)
CTAGE5	chr14|160 (+138673)
CTAGE6	chr7|575 (-170212)
CTCF	chr16|271 (+28691)
CTCFL	chr20|225 (-24838)
CTDP1	chr18|310 (-64800)
CTDSPL	chr3|152 (-28664)
CTDSPL2	chr15|179 (-94431)
CTH	chr1|284 (-1954)
CTHRC1	chr8|418 (-8742)
CTIF	chr18|185 (+59472)
CTNNA1	chr5|553 (+35889)
CTNNA3	chr10|279 (-169074)
CTNNAL1	chr9|448 (-99192)
CTNNB1	chr3|163 (-615929), chr3|165 (-115929)
CTNND1	chr11|231 (+95732)
CTPS1	chr1|166 (-70006)
CTSH	chr15|318 (-137568)
CTSL	chr9|361 (-215433), chr9|362 (+34567)
CTSV	chr9|400 (-73409)
CTTN	chr11|281 (-119646)
CTTNBP2NL	chr1|452 (-63802)
CTXN3	chr5|508 (-109735), chr5|510 (+390265)
CUL1	chr7|594 (-21003)
CUL2	chr10|142 (-11785)
CUL3	chr2|902 (+75064)
CUL5	chr11|432 (-4458)
CUX1	chr7|407 (+165710)
CWC15	chr11|379 (+81775)
CWC27	chr5|257 (+60244)
CXCL12	chr10|182 (-494504), chr10|180 (+5496)
CXCL13	chr4|313 (-307906), chr4|315 (+192094)
CXCL14	chr5|541 (-210032)
CXCR3	chrX|286 (-536641), chrX|285 (-286641), chrX|284 (-36641)
CXCR4	chr2|548 (-1188)
CXXC1	chr18|192 (-60995)
CYB5A	chr18|288 (+84250)
CYB5R4	chr6|339 (+55639)
CYB5RL	chr1|219 (+37166)
CYBRD1	chr2|690 (-3857)
CYFIP2	chr5|627 (-68137)
CYLD	chr16|204 (+98330)
CYP1B1	chr2|154 (-71678)
CYP20A1	chr2|816 (-228662), chr2|817 (+21338)
CYP26A1	chr10|380 (+41354), chr10|381 (+291354)
CYP26B1	chr2|288 (+500166)
CYP26C1	chr10|379 (-196020)
CYP27A1	chr2|879 (-21478)
CYP27C1	chr2|512 (+88342)
CYP2A6	chr19|166 (-18649)
CYP2A7	chr19|166 (+13656)
CYP2C18	chr10|386 (-68377)
CYP2C8	chr10|388 (-45747)
CYP2F1	chr19|167 (+4664)
CYP2S1	chr19|167 (-73953)
CYP2U1	chr4|436 (+22476)
CYP4A22	chr1|191 (+21874)
CYP51A1	chr7|367 (+138843)
CYP7A1	chr8|238 (+37794)
CYP7B1	chr8|266 (-663683)
CYP8B1	chr3|172 (+42632)
CYSLTR2	chr13|197 (-155950), chr13|198 (+94050)
CYSTM1	chr5|559 (+70774)
CYTH1	chr17|307 (+153375)
CYYR1	chr21|111 (+320602)
DAAM1	chr14|239 (-105172), chr14|240 (+144828)
DAB2IP	chr9|498 (+45602), chr9|499 (+295602)
DACH1	chr13|290 (+66329)
DACH2	chrX|342 (-28624)
DACT1	chr14|239 (+520104)
DAPK1	chr9|361 (+12205)
DAPL1	chr2|638 (-276828)
DAPP1	chr4|403 (-113002)
DAZAP2	chr12|207 (-7607)
DBC1	chr9|493 (-993256)
DBI	chr2|481 (+172)
DBR1	chr3|552 (+18790)
DBT	chr1|403 (+90389)
DCAF10	chr9|152 (+74502)
DCAF4	chr14|294 (-18039)
DCAF5	chr14|279 (-5158)
DCAF7	chr17|247 (-2860)
DCBLD1	chr6|472 (+71181)
DCC	chr18|196 (-991541)
DCHS2	chr4|622 (-62552)
DCK	chr4|288 (+15845)
DCLK1	chr13|147 (+80442)
DCLK2	chr4|605 (+124821)
DCLK3	chr3|148 (-93649)
DCLRE1A	chr10|463 (-11142)
DCP1A	chr3|214 (+6653)
DCP2	chr5|450 (+62568), chr5|451 (+312568)
DCT	chr13|381 (+6935), chr13|378 (+756935)
DCTN1	chr2|299 (-17519)
DCUN1D3	chr16|84 (+36705)
DCUN1D4	chr4|211 (-84228)
DCX	chrX|444 (-220627)
DDHD1	chr14|215 (-5185)
DDHD2	chr8|153 (+36140)
DDN	chr12|198 (+18091)
DDR2	chr1|651 (+22746)
DDX11	chr12|126 (+148222)
DDX17	chr22|156 (+27341)
DDX18	chr2|475 (+52775)
DDX19A	chr16|282 (-5731)
DDX25	chr11|504 (+100743)
DDX27	chr20|192 (+39117)
DDX31	chr9|543 (-79213)
DDX42	chr17|248 (+23778)
DDX43	chr6|297 (+20530)
DDX46	chr5|537 (+30507)
DDX50	chr10|283 (-36033)
DDX51	chr12|531 (+3879)
DDX59	chr1|803 (+14096)
DDX60	chr4|677 (+114957)
DEFB108B	chr11|287 (+80755)
DEGS1	chr1|897 (-245872), chr1|898 (+4128)
DENND1A	chr9|507 (+67385), chr9|505 (+567385)
DENND1B	chr1|792 (-130546), chr1|791 (+119454)
DENND6A	chr3|231 (+53815)
DEPDC1B	chr5|241 (-129013)
DEPDC4	chr12|403 (+35856)
DEPDC5	chr22|129 (-25837)
DEPTOR	chr8|484 (-10956)
DERL1	chr8|496 (+179662)
DESI2	chr1|980 (+58764)
DET1	chr15|357 (-35117)
DGAT2L6	chrX|278 (-22332)
DGCR14	chr22|77 (+7196)
DGKI	chr7|551 (-93392)
DGKZ	chr11|186 (-8144)
DGUOK	chr2|297 (-28952)
DHCR24	chr1|222 (-22110)
DHRS12	chr13|210 (+3258)
DHRS7	chr14|243 (+11573)
DHRS9	chr2|681 (+203702)
DHX34	chr19|192 (+22463)
DHX35	chr20|151 (+34023)
DHX36	chr3|617 (-82715), chr3|616 (+167285)
DHX38	chr16|289 (-2460)
DHX40	chr17|231 (-17885)
DHX9	chr1|732 (+66497)
DIAPH1	chr5|564 (+123621)
DIAPH3	chr13|244 (-136880), chr13|243 (+113120), chr13|242 (+363120)
DICER1	chr14|383 (-654)
DIMT1	chr5|247 (+74759)
DIO1	chr1|218 (+15141)
DIP2A	chr21|192 (-4023)
DIRC2	chr3|491 (+111359)
DIS3L2	chr2|932 (+48708)
DISC1	chr1|928 (+112440)
DIXDC1	chr11|448 (+67074)
DKK2	chr4|435 (-667547)
DKKL1	chr19|200 (+8150)
DLAT	chr11|448 (-20537)
DLD	chr7|431 (+93586)
DLEC1	chr3|153 (+44305)
DLEU1	chr13|203 (-31306), chr13|204 (+218694), chr13|205 (+468694), chr13|206 (+718694)
DLG5	chr10|319 (+61283)
DLGAP3	chr1|142 (+20185)
DLGAP5	chr14|224 (-216605), chr14|223 (+33395)
DLX1	chr2|692 (-74953)
DLX2	chr2|693 (-157373)
DLX3	chr17|193 (-52413)
DLX6	chr7|386 (-259859)
DMAP1	chr1|179 (-54162)
DMBX1	chr1|188 (-97668)
DMP1	chr4|355 (+53542)
DMRTA2	chr1|206 (-485829)
DMRTB1	chr1|216 (-50071)
DNAAF2	chr14|201 (-23053)
DNAH10	chr12|498 (+127959)
DNAH12	chr3|230 (+155067)
DNAH14	chr1|901 (+7632)
DNAH17	chr17|307 (-51525)
DNAH7	chr2|788 (+58535), chr2|787 (+308535)
DNAJA2	chr16|189 (-117302)
DNAJB1	chr19|59 (+4231)
DNAJB6	chr7|629 (-4659)
DNAJB8	chr3|512 (+310810)
DNAJC10	chr2|735 (+44002)
DNAJC13	chr3|529 (-11369)
DNAJC25	chr9|458 (-18631)
DNAJC3	chr13|386 (+45608), chr13|387 (+295608)
DNAJC5B	chr8|268 (-58794)
DNAJC6	chr1|263 (-150227)
DNASE1L3	chr3|233 (+75397)
DNM1L	chr12|132 (+42777)
DOCK11	chrX|471 (-4871)
DOCK2	chr5|678 (+310750)
DOCK6	chr19|46 (-1873)
DOCK7	chr1|253 (+28952)
DOCK9	chr13|399 (+5243)
DOPEY1	chr6|336 (+97616)
DOPEY2	chr21|151 (+88168)
DPF1	chr19|155 (+89889)
DPF3	chr14|294 (-14192)
DPH5	chr1|406 (+116327)
DPY19L2	chr12|257 (-62644)
DPYSL3	chr5|588 (+14618)
DR1	chr1|376 (+63556)
DRAM1	chr12|410 (+103872)
DRD3	chr3|456 (+22898)
DRG1	chr22|128 (+79492)
DRGX	chr10|203 (-25094)
DROSHA	chr5|127 (-92833)
DSC3	chr18|115 (-2294)
DSCAM	chr21|170 (-155936), chr21|169 (+94064), chr21|168 (+344064), chr21|167 (+594064), chr21|166 (+844064)
DSCAML1	chr11|471 (+42975), chr11|470 (+292975)
DSCC1	chr8|484 (-6751)
DSCR3	chr21|155 (+14832)
DSCR4	chr21|158 (+118453)
DSCR8	chr21|159 (+131434)
DSE	chr6|467 (-66520)
DSG2	chr18|117 (+46995)
DST	chr6|228 (-367207), chr6|227 (-117207), chr6|226 (+132793)
DSTYK	chr1|821 (+55693)
DTL	chr1|850 (+166082)
DTX2	chr7|305 (+33983)
DUOX2	chr15|182 (+31358)
DUS4L	chr7|429 (-79402)
DUSP10	chr1|891 (-709483)
DUSP27	chr1|669 (+61719)
DVL3	chr3|736 (+1825)
DYM	chr18|188 (+112171)
DYNC1H1	chr14|410 (-55864)
DYNC1I1	chr7|384 (+473099)
DYNC1I2	chr2|691 (+81021)
DYNC1LI1	chr3|131 (-12635)
DYNC2LI1	chr2|176 (-126177)
DYNLL2	chr17|225 (-35775)
DYRK1A	chr21|156 (+82399), chr21|157 (+332399)
DYRK2	chr12|272 (-167500)
DYSF	chr2|287 (-68831), chr2|288 (+181169)
E2F5	chr8|345 (+35379)
E2F7	chr12|310 (+84359)
EBAG9	chr8|443 (+72595)
EBF1	chr5|635 (-98232)
EBNA1BP2	chr1|175 (+13240)
ECHDC1	chr6|511 (+39019)
ECHDC2	chr1|214 (+12438), chr1|213 (+262438)
ECM2	chr9|382 (-76664)
ECSIT	chr19|47 (+14988)
ECT2L	chr6|557 (+7938)
EDA	chrX|276 (+39090)
EDAR	chr2|438 (+230827)
EDARADD	chr1|947 (+67423)
EDEM3	chr1|740 (-150954), chr1|739 (+99046), chr1|737 (+599046)
EDN2	chr1|170 (-424659), chr1|169 (-174659), chr1|168 (+75341)
EDNRA	chr4|594 (-27083)
EDNRB	chr13|317 (-631098), chr13|313 (+368902)
EEA1	chr12|375 (-301894), chr12|374 (-51894)
EED	chr11|344 (-80585)
EEFSEC	chr3|512 (+2704)
EEPD1	chr7|146 (+182243)
EFCAB1	chr8|199 (+22790)
EFCAB11	chr14|362 (+46032), chr14|361 (+296032)
EFCAB12	chr3|517 (+22493)
EFCAB13	chr17|182 (-26346)
EFCAB2	chr1|981 (-8170)
EFCAB6	chr22|177 (+83156), chr22|176 (+333156)
EFHC1	chr6|210 (+89895)
EFHC2	chrX|178 (-172083)
EFNA5	chr5|431 (-618405), chr5|429 (-118405), chr5|428 (+131595)
EFTUD1	chr15|330 (+180103)
EGLN1	chr1|927 (-64211)
EGR2	chr10|260 (-298886), chr10|259 (-48886)
EHD2	chr19|193 (-91599)
EHHADH	chr3|740 (+96885)
EI24	chr11|502 (-64297)
EID1	chr15|197 (-45082)
EID3	chr12|419 (-72516)
EIF1B	chr3|162 (+23826)
EIF2AK2	chr2|150 (+9189)
EIF2AK3	chr2|356 (+52093)
EIF2B3	chr1|182 (+77281)
EIF3E	chr8|438 (-114007)
EIF3H	chr8|471 (+143059)
EIF3K	chr19|157 (+15264)
EIF4A3	chr17|313 (-4019)
EIF4E	chr4|400 (-24717)
EIF4E3	chr3|287 (+149525), chr3|286 (+399525)
EIF4EBP2	chr10|289 (-39134)
EIF4EBP3	chr5|560 (-52250)
EIF4ENIF1	chr22|128 (+10572)
EIF5	chr14|415 (-175338)
EIF5A2	chr3|683 (+1481)
ELF1	chr13|166 (+218449)
ELF2	chr4|561 (-26629)
ELFN2	chr22|152 (-51496)
ELK3	chr12|387 (+36841)
ELK4	chr1|823 (-23911)
ELL	chr19|75 (+7936)
ELL2	chr5|382 (-77226)
ELMOD3	chr2|343 (+43075)
ELN	chr7|294 (-67118)
ELOVL4	chr6|322 (+282296)
ELOVL5	chr6|214 (-161253), chr6|213 (+88747)
ELOVL6	chr4|446 (-255192), chr4|445 (-5192)
ELOVL7	chr5|241 (+15215)
EMB	chr5|200 (-137800)
EMC2	chr8|438 (-80852)
EMC7	chr15|138 (+19148)
EMID1	chr22|119 (+23161)
EML2	chr19|185 (+23886)
EML4	chr2|170 (-21489)
EML5	chr14|357 (+134095)
EML6	chr2|220 (-76678), chr2|221 (+173322)
EMX1	chr2|293 (-19603)
EN1	chr2|476 (+730253)
EN2	chr7|621 (-125823), chr7|622 (+124177)
ENAH	chr1|904 (-34157), chr1|903 (+215843)
ENDOD1	chr11|380 (+52027)
ENDOU	chr12|193 (-5682)
ENDOV	chr17|314 (-13966)
ENGASE	chr17|309 (+53974), chr17|310 (+303974)
ENOPH1	chr4|334 (+23286)
ENPEP	chr4|445 (-272228), chr4|446 (-22228)
ENPP4	chr6|185 (+27271)
ENPP5	chr6|185 (+13707)
ENPP6	chr4|742 (-235887)
ENSA	chr1|603 (-22949)
ENSG00000005189	chr16|84 (+57180)
ENSG00000091436	chr2|695 (-315686), chr2|696 (-65686)
ENSG00000134602	chrX|524 (-282292)
ENSG00000143674	chr1|935 (+161487)
ENSG00000163075	chr2|482 (+72954)
ENSG00000166329	chr17|224 (-52328), chr17|223 (+197672), chr17|222 (+447672)
ENSG00000166503	chr15|336 (+1769)
ENSG00000167765	chr19|209 (-27368)
ENSG00000171282	chr17|318 (+1461)
ENSG00000172901	chr5|462 (+76810)
ENSG00000177453	chr5|173 (-67953)
ENSG00000178404	chr17|308 (+24282)
ENSG00000198843	chr3|602 (+53926)
ENSG00000205301	chr4|566 (+44375)
ENSG00000214194	chr7|452 (-116333)
ENSG00000228532	chrX|461 (-171332)
ENSG00000236294	chr7|452 (-216126)
ENSG00000243627	chr21|144 (-78737)
ENSG00000248710	chr3|641 (+42616)
ENSG00000254469	chr11|287 (+14640)
ENSG00000254673	chr8|172 (+1434)
ENSG00000255835	chr1|905 (-13023)
ENSG00000258790	chr14|143 (+33246)
ENSG00000259753	chr17|182 (+43738)
ENSG00000260170	chr15|184 (-4548)
ENSG00000260537	chr16|282 (+41884)
ENSG00000268133	chr19|232 (+67)
ENSG00000269210	chr2|157 (+62482)
ENSG00000270106	chr1|927 (-39398)
ENSG00000270757	chr2|794 (+9864)
ENSG00000270898	chr2|217 (-37704)
ENSG00000271723	chr1|221 (+17528)
ENSG00000272260	chr6|439 (+67137)
ENTPD3	chr3|162 (-53646)
ENTPD6	chr20|101 (-51355)
EP300	chr22|166 (-112789)
EPAS1	chr2|186 (-149540)
EPB41L1	chr20|139 (-117671)
EPB41L2	chr6|526 (+9461)
EPB41L4A	chr5|448 (-119988), chr5|447 (+130012), chr5|446 (+380012)
EPB41L4B	chr9|449 (-41757)
EPB41L5	chr2|483 (-145580), chr2|484 (+104420)
EPC2	chr2|596 (-527552), chr2|598 (-27552), chr2|599 (+222448)
EPCAM	chr2|191 (+28714)
EPG5	chr18|175 (-77761)
EPHA1	chr7|573 (-19016)
EPHB1	chr3|538 (-139103), chr3|539 (+110897)
EPHB3	chr3|737 (-154571), chr3|738 (+95429)
EPRS	chr1|881 (+94999)
EPS15	chr1|208 (+109999)
EPS8L1	chr19|223 (+37732)
EPS8L3	chr1|442 (-68352)
ERAL1	chr17|109 (-56955)
ERAP1	chr5|385 (+18802)
ERBB2	chr17|152 (+18668)
ERBB2IP	chr5|261 (-97600), chr5|262 (+152400)
ERC2	chr3|226 (+127390), chr3|223 (+877390)
ERCC2	chr19|184 (-1125)
ERCC3	chr2|513 (-73249)
ERCC6L2	chr9|394 (-262982), chr9|395 (-12982), chr9|396 (+237018)
ERG	chr21|161 (-91383), chr21|160 (+158617)
ERLIN1	chr10|408 (+73090)
ERN1	chr17|249 (+82484)
ERO1L	chr14|213 (+37422)
ERO1LB	chr1|946 (+70284)
ERVMER34-1	chr4|215 (-7194)
ERVW-1	chr7|369 (-24382)
ESCO1	chr18|77 (+55696)
ESD	chr13|189 (+246366)
ESM1	chr5|216 (+406490)
ESR1	chr6|608 (-136630)
ESR2	chr14|259 (+136077), chr14|258 (+386077)
ESRP1	chr8|383 (-28356)
ESRP2	chr16|273 (+145486)
ESRRB	chr14|307 (-248880), chr14|308 (+1120), chr14|309 (+251120)
ESYT2	chr7|635 (-2682)
ESYT3	chr3|553 (-28454)
ETFA	chr15|306 (+228809)
ETFDH	chr4|639 (+31724)
ETNK2	chr1|817 (-3870)
ETNPPL	chr4|439 (+59208)
ETS2	chr21|161 (-52230), chr21|162 (+197770)
ETV2	chr19|145 (-7646)
ETV3	chr1|629 (-16842)
ETV4	chr17|167 (-1201)
EVA1C	chr21|136 (+90312)
EVX2	chr2|708 (+73640)
EXD2	chr14|279 (-33227)
EXO1	chr1|968 (-136481), chr1|969 (+113519)
EXOC1	chr4|227 (-94781)
EXOC4	chr7|532 (-62828)
EXOC6	chr10|379 (+16724)
EXOC7	chr17|297 (-25174)
EXOG	chr3|155 (+87238)
EXOSC8	chr13|151 (+50323)
EXPH5	chr11|434 (+89373)
EXT1	chr8|477 (-909), chr8|475 (+499091)
EXT2	chr11|177 (+7254)
EYA1	chr8|287 (+649466)
EYA2	chr20|182 (-148262), chr20|183 (+101738), chr20|184 (+351738)
EYA3	chr1|114 (+40206)
EYA4	chr6|535 (+62512), chr6|537 (+562512)
EZH1	chr17|164 (+22047)
EZH2	chr7|595 (-43631)
FA2H	chr16|300 (-66278)
FAAH	chr1|188 (+15064)
FAAH2	chrX|230 (+61862)
FABP1	chr2|354 (+52634)
FABP2	chr4|482 (-131456)
FABP3	chr1|128 (-29078)
FABP5	chr8|329 (-67597)
FABP6	chr5|639 (+10627)
FADS6	chr17|292 (+14707)
FAF1	chr1|206 (+50934)
FAH	chr15|322 (-70121), chr15|323 (+179879)
FAHD2A	chr2|385 (+56527)
FAIM	chr3|554 (+47550)
FAM107A	chr3|235 (-61510)
FAM111B	chr11|236 (+291)
FAM114A2	chr5|614 (+43478)
FAM120A	chr9|385 (-89003)
FAM124B	chr2|902 (-108250)
FAM126B	chr2|808 (+61391)
FAM129A	chr1|740 (+68681)
FAM136A	chr2|283 (-95779)
FAM13A	chr4|360 (+103322), chr4|359 (+353322)
FAM13B	chr5|550 (-6281)
FAM150A	chr8|215 (-146934), chr8|214 (+103066)
FAM155B	chrX|275 (-100083)
FAM159A	chr1|213 (+25985), chr1|214 (+275985)
FAM161A	chr2|248 (+206187)
FAM162A	chr3|489 (+21972)
FAM162B	chr6|469 (-38115)
FAM170A	chr5|476 (-90292), chr5|480 (+909708)
FAM172A	chr5|376 (-427661), chr5|374 (+72339)
FAM174A	chr5|400 (+3992)
FAM174B	chr15|374 (-175813), chr15|373 (+74187)
FAM180A	chr7|543 (-191407)
FAM184A	chr6|479 (-225093), chr6|478 (+24907)
FAM189A1	chr15|119 (+237926)
FAM192A	chr16|229 (+94975)
FAM198A	chr3|173 (+103961)
FAM198B	chr4|637 (-30799)
FAM19A3	chr1|454 (+111960)
FAM19A5	chr22|200 (+989729)
FAM209B	chr20|221 (+16699)
FAM20B	chr1|716 (-120030)
FAM210B	chr20|220 (-58970)
FAM213A	chr10|329 (-54753)
FAM3B	chr21|171 (-63660)
FAM3C	chr7|485 (-88613)
FAM3D	chr3|237 (-472426), chr3|235 (+27574)
FAM49B	chr8|525 (-172923)
FAM60A	chr12|126 (+104305)
FAM63B	chr15|237 (+61488)
FAM69A	chr1|374 (+52056)
FAM69C	chr18|289 (-498)
FAM71D	chr14|271 (-31145)
FANCC	chr9|393 (-45017), chr9|391 (+454983)
FANCE	chr6|142 (-45137)
