# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|1	OR4F29 (-242639), OR4F5 (+55910)
chr15|31	NONE
chr15|32	NONE
chr15|33	NONE
chr15|34	NONE
chr15|35	NONE
chr15|36	NONE
chr15|37	NONE
chr15|38	NONE
chr15|39	NONE
chr15|40	NONE
chr15|41	NONE
chr15|42	NONE
chr15|43	NONE
chr15|44	NONE
chr15|45	NONE
chr15|46	NONE
chr15|47	NONE
chr15|48	NONE
chr15|49	NONE
chr15|50	NONE
chr15|51	NONE
chr15|52	NONE
chr15|53	NONE
chr15|54	NONE
chr15|55	NONE
chr15|56	NONE
chr15|57	NONE
chr15|58	NONE
chr15|59	NONE
chr15|60	NONE
chr15|61	NONE
chr15|62	NONE
chr15|63	NONE
chr15|64	NONE
chr15|65	NONE
chr15|66	NONE
chr15|67	NONE
chr15|68	NONE
chr15|69	NONE
chr15|70	NONE
chr15|71	NONE
chr15|72	NONE
chr15|73	NONE
chr15|74	NONE
chr15|75	NONE
chr15|76	NONE
chr15|77	NONE
chr15|78	NONE
chr15|79	NONE
chr15|80	NONE
chr15|81	NONE
chr15|82	NONE
chr15|83	NONE
chr15|84	NONE
chr15|85	NONE
chr15|86	OR4M2 (-993477)
chr15|87	OR4M2 (-743477)
chr15|88	OR4M2 (-493477)
chr15|89	OR4M2 (-243477)
chr15|90	OR4N4 (-7381), OR4M2 (+6523)
chr15|91	TUBGCP5 (-208394), OR4N4 (+242619)
chr15|92	CYFIP1 (-17662), TUBGCP5 (+41606)
chr15|93	GOLGA8I (-130241), NIPA1 (-38565)
chr15|94	GOLGA8S (-224992), GOLGA8I (+119759)
chr15|95	MKRN3 (-185453), GOLGA8S (+25008)
chr15|96	MAGEL2 (+16174), MKRN3 (+64547)
chr15|97	NPAP1 (-795540), NDN (-192551)
chr15|98	NPAP1 (-545540), NDN (-442551)
chr15|99	NDN (-692551), NPAP1 (-295540)
chr15|100	NDN (-942551), NPAP1 (-45540)
chr15|101	SNURF (-75134), SNRPN (+56207)
chr15|102	SNURF (+174866), UBE3A (+278794)
chr15|104	UBE3A (-221206), ATP10A (+233354)
chr15|105	ATP10A (-16646), GABRB3 (+893220)
chr15|106	ATP10A (-266646), GABRB3 (+643220)
chr15|107	ATP10A (-516646), GABRB3 (+393220)
chr15|108	ATP10A (-766646), GABRB3 (+143220)
chr15|109	GABRG3 (-91428), GABRA5 (+13491)
chr15|111	GABRG3 (+408572), OCA2 (+719503)
chr15|112	OCA2 (+469503), GABRG3 (+658572)
chr15|113	OCA2 (+219503), GABRG3 (+908572)
chr15|115	GOLGA8F (+1191), GOLGA8G (+153116)
chr15|116	GOLGA8G (-96884), GOLGA8M (+82468)
chr15|118	NDNL2 (+187032), APBA2 (+243881)
chr15|120	FAM189A1 (-12074), TJP1 (+239705)
chr15|122	GOLGA8J (-255)
chr15|123	CHRFAM7A (+60751), GOLGA8T (+197649)
chr15|124	GOLGA8H (-21328), GOLGA8Q (+30720)
chr15|130	CHRNA7 (+52310), GOLGA8K (+320395)
chr15|131	GOLGA8K (+70395), CHRNA7 (+302310)
chr15|137	CHRM5 (-136088), RYR3 (+521824)
chr15|143	ZNF770 (-344513), DPH6 (+213368)
chr15|332	RPS17 (-50029), RPS17L (+334314)
chr15|411	OR4F4 (-52399)
chr16|1	MPG (-3255), RHBDF1 (-2372)
chr16|2	AXIN1 (+27658), PDIA2 (+41849)
chr16|3	RAB40C (-14356), PIGQ (+4983)
chr16|5	SSTR5 (-3780)
chr16|143	NONE
chr16|144	NONE
chr16|145	NONE
chr16|146	NONE
chr16|147	NONE
chr16|148	NONE
chr16|149	NONE
chr16|150	NONE
chr16|151	NONE
chr16|152	NONE
chr16|153	NONE
chr16|154	NONE
chr16|155	NONE
chr16|156	NONE
chr16|157	NONE
chr16|158	NONE
chr16|159	NONE
chr16|160	NONE
chr16|161	NONE
chr16|162	NONE
chr16|163	NONE
chr16|165	NONE
chr16|166	NONE
chr16|167	NONE
chr16|168	NONE
chr16|169	NONE
chr16|170	NONE
chr16|171	NONE
chr16|172	NONE
chr16|173	NONE
chr16|174	NONE
chr16|175	NONE
chr16|176	NONE
chr16|177	NONE
chr16|178	NONE
chr16|179	NONE
chr16|180	NONE
chr16|181	NONE
chr16|182	NONE
chr16|183	NONE
chr16|184	SHCBP1 (+780537)
chr16|185	SHCBP1 (+530537)
chr16|362	PRDM7 (-160039)
chr17|1	DOC2B (-93574), RPH3AL (+77597)
chr17|2	FAM101B (-79271), VPS53 (+243095)
chr17|3	FAM57A (-10651), VPS53 (-6905)
chr17|4	GLOD4 (-189420), NXN (+8009)
chr17|5	BHLHA9 (-48852), ABR (-41833)
chr17|6	CRK (-15449), MYO1C (+21105)
chr17|8	RTN4RL1 (+53177), RPA1 (+141723)
chr17|9	SRR (-81997), HIC1 (+165397)
chr17|11	RAP1GAP2 (-74731), CLUH (-9687)
chr17|12	OR1D5 (+91900), RAP1GAP2 (+175269)
chr17|13	OR1A1 (+6086), OR3A2 (+57267)
chr17|14	ASPA (-4295), SPATA22 (+427)
chr17|23	WSCD1 (-347425), NLRP1 (-137724)
chr17|24	NLRP1 (-387724), WSCD1 (-97425)
chr17|25	WSCD1 (+152575), AIPL1 (+213504)
chr17|42	MYH4 (-2125)
chr17|44	SHISA6 (-269579), PIRT (-133239)
chr17|45	PIRT (-383239), SHISA6 (-19579)
chr17|46	DNAH9 (-126747), SHISA6 (+230421)
chr17|47	DNAH9 (+123253), ZNF18 (+275688)
chr17|49	MYOCD (-444305), MAP2K4 (+200860)
chr17|60	PMP22 (+290905), HS3ST3B1 (+670601)
chr17|82	LGALS9B (-4153)
chr17|89	MTRNR2L1 (+102564)
chr17|90	MTRNR2L1 (+352564)
chr17|91	MTRNR2L1 (+602564)
chr17|92	MTRNR2L1 (+852564)
chr17|93	NONE
chr17|94	NONE
chr17|95	NONE
chr17|96	NONE
chr17|97	NONE
chr17|98	NONE
chr17|99	WSB1 (-996105)
chr17|100	WSB1 (-746105)
chr17|101	WSB1 (-496105)
chr17|102	WSB1 (-246105)
chr17|139	CCL3L1 (+718)
chr18|1	ENSG00000173213 (-75444), USP14 (-33607)
chr18|2	THOC1 (-106974), COLEC12 (+125721)
chr18|3	TYMS (-32603), CLUL1 (+28003)
chr18|4	YES1 (-62454), ADCYAP1 (-30109)
chr18|5	ADCYAP1 (+219891)
chr18|6	ADCYAP1 (+469891)
chr18|7	ADCYAP1 (+719891), METTL4 (+946484)
chr18|8	METTL4 (+696484), ADCYAP1 (+969891)
chr18|9	METTL4 (+446484)
chr18|63	ANKRD30B (+876762)
chr18|64	NONE
chr18|65	NONE
chr18|66	NONE
chr18|67	NONE
chr18|69	NONE
chr18|70	NONE
chr18|71	NONE
chr18|72	ROCK1 (+816811)
chr18|73	ROCK1 (+566811)
chr18|74	ROCK1 (+316811)
chr19|1	OR4F17 (+17530), PPAP2C (+166169)
chr19|2	MIER2 (-30208), THEG (+1012)
chr19|3	POLRMT (+8596), HCN2 (+35108)
chr19|4	CFD (+15548), MED16 (+18217)
chr19|5	GPX4 (+21065), SBNO2 (+49281)
chr19|22	ZNRF4 (-80425), PTPRS (-34187)
chr19|37	OR1M1 (-78854), MUC16 (-32983)
chr19|99	ZNF254 (+355006)
chr19|100	ZNF254 (+605006)
chr19|101	ZNF254 (+855006)
chr19|102	NONE
chr19|103	NONE
chr19|104	NONE
chr19|105	NONE
chr19|106	NONE
chr19|107	NONE
chr19|108	NONE
chr19|109	NONE
chr19|110	NONE
chr19|111	NONE
chr19|112	NONE
chr20|1	DEFB127 (-13110), DEFB126 (+1991)
chr20|2	RBCK1 (-13696), TRIB3 (+13740)
chr20|3	TCF15 (-33959), SRXN1 (+9013)
chr20|4	ANGPT4 (+21959), FAM110A (+60581)
chr20|5	PSMF1 (+25760), TMEM74B (+40116)
chr20|6	FKBP1A (-1195)
chr20|7	SIRPB1 (-24346), SIRPG (+13424)
chr20|8	SIRPA (-941)
chr20|107	ZNF337 (-957408)
chr20|108	NONE
chr20|109	NONE
chr20|110	NONE
chr20|111	NONE
chr20|112	NONE
chr20|113	NONE
chr20|114	NONE
chr20|115	NONE
chr20|116	DEFB115 (-970466)
chr20|117	DEFB115 (-720466)
chr20|253	PCMTD2 (+125640)
chr21|1	NONE
chr21|2	NONE
chr21|3	NONE
chr21|4	NONE
chr21|5	NONE
chr21|6	NONE
chr21|7	NONE
chr21|8	NONE
chr21|9	NONE
chr21|10	NONE
chr21|11	NONE
chr21|12	NONE
chr21|13	NONE
chr21|14	NONE
chr21|15	NONE
chr21|16	NONE
chr21|17	NONE
chr21|18	NONE
chr21|19	NONE
chr21|20	NONE
chr21|21	NONE
chr21|22	NONE
chr21|23	NONE
chr21|24	NONE
chr21|25	NONE
chr21|26	NONE
chr21|27	NONE
chr21|28	NONE
chr21|29	NONE
chr21|30	NONE
chr21|31	NONE
chr21|32	NONE
chr21|33	NONE
chr21|34	NONE
chr21|35	NONE
chr21|36	NONE
chr21|37	NONE
chr21|38	NONE
chr21|39	NONE
chr21|46	TPTE (-384119)
chr21|47	TPTE (-634119)
chr21|48	TPTE (-884119)
chr21|49	NONE
chr21|50	NONE
chr21|51	NONE
chr21|53	NONE
chr21|54	NONE
chr21|55	NONE
chr21|56	NONE
chr21|57	POTED (-857497)
chr21|60	POTED (-107497)
chr21|61	POTED (+142503), LIPI (+454269)
chr21|62	LIPI (+204269), POTED (+392503)
chr22|1	NONE
chr22|2	NONE
chr22|3	NONE
chr22|4	NONE
chr22|5	NONE
chr22|6	NONE
chr22|7	NONE
chr22|8	NONE
chr22|9	NONE
chr22|10	NONE
chr22|11	NONE
chr22|12	NONE
chr22|13	NONE
chr22|14	NONE
chr22|15	NONE
chr22|16	NONE
chr22|17	NONE
chr22|18	NONE
chr22|19	NONE
chr22|20	NONE
chr22|21	NONE
chr22|22	NONE
chr22|23	NONE
chr22|24	NONE
chr22|25	NONE
chr22|26	NONE
chr22|27	NONE
chr22|28	NONE
chr22|29	NONE
chr22|30	NONE
chr22|31	NONE
chr22|32	NONE
chr22|33	NONE
chr22|34	NONE
chr22|35	NONE
chr22|36	NONE
chr22|37	NONE
chr22|38	NONE
chr22|39	NONE
chr22|40	NONE
chr22|41	NONE
chr22|42	NONE
chr22|43	NONE
chr22|44	NONE
chr22|45	NONE
chr22|46	NONE
chr22|47	NONE
chr22|48	NONE
chr22|49	NONE
chr22|50	NONE
chr22|51	NONE
chr22|52	NONE
chr22|53	NONE
chr22|54	NONE
chr22|55	NONE
chr22|56	NONE
chr22|57	NONE
chr22|58	NONE
chr22|59	NONE
chr22|60	NONE
chr22|61	NONE
chr22|62	NONE
chr22|63	OR11H1 (+824804)
chr22|64	OR11H1 (+574804)
chr22|65	OR11H1 (+324804)
chr22|66	OR11H1 (+74804)
chr22|67	OR11H1 (-175196), CCT8L2 (+448699)
chr22|68	OR11H1 (-425196), CCT8L2 (+198699)
chr22|69	CCT8L2 (-51301), XKR3 (+177588)
chr22|70	XKR3 (-72412), GAB4 (+114111)
chr22|71	CECR5 (+15166), IL17RA (+59152)
chr22|72	CECR1 (-172122), CECR2 (-81626)
chr22|206	RABL2B (-55214)
chrX|1	PLCXD1 (-72858)
chrX|2	SHOX (-210078), PPP2R3B (-27556)
chrX|3	SHOX (+39922), CRLF2 (+706526)
chrX|4	SHOX (+289922), CRLF2 (+456526)
chrX|5	CRLF2 (+206526), SHOX (+539922)
chrX|6	CRLF2 (-43474), CSF2RA (-26570)
chrX|7	ASMTL (-53235), P2RY8 (+30999)
chrX|8	ASMT (+141107), ZBED1 (+544007)
chrX|9	ZBED1 (+294007), ASMT (+391107)
chrX|10	ZBED1 (+44007), ASMT (+641107)
chrX|11	XG (-45092), CD99 (+15781)
chrX|12	ARSD (-27609), ARSE (+7310)
chrX|13	MXRA5 (+139681), ARSF (+165489)
chrX|14	MXRA5 (-110319), PRKX (+256648)
chrX|16	PRKX (-243352)
chrX|17	PRKX (-493352)
chrX|18	PRKX (-743352)
chrX|19	PRKX (-993352)
chrX|20	NONE
chrX|21	NONE
chrX|22	NLGN4X (+771903)
chrX|23	NLGN4X (+521903)
chrX|24	NLGN4X (+271903)
chrX|25	NLGN4X (+21903)
chrX|26	NLGN4X (-228097), VCX3A (+78158)
chrX|27	VCX3A (-171842), HDHD1 (+441198)
chrX|28	VCX3A (-421842), HDHD1 (+191198)
chrX|30	VCX (-435302), STS (+237504)
chrX|31	VCX (-185302), STS (+487504)
chrX|33	PNPLA4 (-229517), VCX2 (+14307)
chrX|34	VCX2 (-235693), VCX3B (-57870)
chrX|35	KAL1 (+75226), VCX3B (+192130)
chrX|36	FAM9A (-105623), FAM9B (+127167)
chrX|37	TBL1X (-308047), FAM9B (-122833)
chrX|210	SSX7 (+308949), MAGED1 (+738266)
chrX|236	ZXDA (-937934)
chrX|237	NONE
chrX|238	NONE
chrX|239	NONE
chrX|240	NONE
chrX|242	NONE
chrX|243	NONE
chrX|244	NONE
chrX|245	NONE
chrX|246	NONE
chrX|622	IL9R (+33035)

