# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|50	TNFRSF1B (+147941), DHRS3 (+302736)
chr3|63	COLQ (-61743), BTD (-18248)
chr3|64	HACL1 (-231663), ANKRD28 (+26277)
chr3|65	ANKRD28 (-223723), GALNT15 (-91155)
chr3|67	RFTN1 (-69788), DAZL (+21296)
chr3|68	DAZL (-228704), PLCL2 (-51451)
chr3|69	PLCL2 (+198549), TBC1D5 (+616511)
chr3|70	TBC1D5 (+366511), PLCL2 (+448549)
chr3|71	TBC1D5 (+116511), PLCL2 (+698549)
chr3|73	TBC1D5 (-383489), SATB1 (+341064)
chr3|74	TBC1D5 (-633489), SATB1 (+91064)
chr3|76	SATB1 (-408936), KCNH8 (-314945)
chr3|80	EFHB (+100671), KCNH8 (+685055)
chr3|82	SGOL1 (-147318)
chr3|84	SGOL1 (-647318), ZNF385D (+917926)
chr3|86	ZNF385D (+417926)
chr3|88	ZNF385D (-82074)
chr3|89	ZNF385D (-332074)
chr3|92	UBE2E2 (-369783)
chr3|94	UBE2E1 (-472393), UBE2E2 (+130217)
chr3|95	UBE2E1 (-222393), UBE2E2 (+380217)
chr3|97	NR1D2 (+138250), THRB (+411265)
chr3|98	THRB (+161265), NR1D2 (+388250)
chr3|100	RARB (-594801), THRB (-338735)
chr3|102	THRB (-838735), RARB (-94801)
chr3|107	LRRC3B (-39296), OXSM (+793430)
chr3|108	LRRC3B (+210704), NEK10 (+535911)
chr3|110	NEK10 (+35911), LRRC3B (+710704)
chr3|112	CMC1 (-408085), EOMES (-111012)
chr3|113	EOMES (-361012), CMC1 (-158085)
chr3|115	RBMS3 (-697836), ZCWPW2 (+234361)
chr3|119	RBMS3 (+302164)
chr3|120	TGFBR2 (-773092), RBMS3 (+552164)
chr3|121	TGFBR2 (-523092), RBMS3 (+802164)
chr3|122	TGFBR2 (-273092)
chr3|124	GADL1 (+61256), TGFBR2 (+226908)
chr3|125	STT3B (-449281), GADL1 (-188744)
chr3|126	GADL1 (-438744), STT3B (-199281)
chr3|138	PDCD6IP (+534935)
chr3|140	ARPP21 (-806877)
chr3|142	ARPP21 (-306877)
chr3|143	ARPP21 (-56877)
chr3|146	STAC (-46835), ARPP21 (+693123)
chr3|184	SLC6A20 (-36974), LZTFL1 (+8657)
chr3|186	CCR2 (-20234), CCR3 (+91129)
chr3|187	TDGF1 (+6274), ALS2CL (+110190)
chr3|208	RRP9 (+100956), GRM2 (+133915)
chr3|270	KBTBD8 (+326270), SUCLG2 (+330033)
chr3|276	FAM19A4 (+106760), FAM19A1 (+821642)
chr3|284	FOXP1 (+304987)
chr3|303	FRG2C (-88480)
chr3|307	ROBO2 (+669155)
chr3|309	NONE
chr3|314	NONE
chr3|318	ROBO1 (+441964)
chr3|320	ROBO1 (-58036)
chr3|323	ROBO1 (-808036)
chr3|324	GBE1 (+936311)
chr3|325	GBE1 (+686311)
chr3|326	GBE1 (+436311)
chr3|329	GBE1 (-313689)
chr3|330	GBE1 (-563689)
chr3|335	NONE
chr3|340	CADM2 (-900631)
chr3|341	CADM2 (-650631)
chr3|343	CADM2 (-150631)
chr3|344	CADM2 (+99369)
chr3|347	VGLL3 (+415256), CADM2 (+849369)
chr3|348	VGLL3 (+165256)
chr3|360	EPHA3 (+718327)
chr3|361	EPHA3 (+968327)
chr3|393	OR5K1 (-63323), OR5K3 (+15491)
chr3|394	ST3GAL6 (-76571), CPOX (-62434)
chr3|395	DCBLD2 (-4468)
chr3|408	ZPLD1 (-278858), NFKBIZ (+306643)
chr3|421	ALCAM (+39248), CBLB (+462886)
chr3|422	CBLB (+212886), ALCAM (+289248)
chr3|423	CBLB (-37114)
chr3|425	CBLB (-537114)
chr3|426	BBX (-866822), CBLB (-787114)
chr3|438	DPPA4 (-318582)
chr3|471	NONE
chr3|506	TXNRD3 (-1003)
chr3|509	TPRA1 (+184611), PLXNA1 (+417564)
chr3|527	ACPP (-411250), MRPL3 (-403188)
chr3|531	NPHP3 (-183715), TMEM108 (-132234)
chr3|540	PPP2R3A (-809514), EPHB1 (+360897)
chr3|560	TRIM42 (-521880), CLSTN2 (+220974)
chr3|578	C3orf58 (+684361)
chr3|579	C3orf58 (+934361)
chr3|580	NONE
chr3|581	PLOD2 (+753953)
chr3|583	PLOD2 (+253953)
chr3|590	ZIC1 (+247830)
chr3|591	AGTR1 (-790657), ZIC1 (+497830)
chr3|614	ARHGEF26 (-463791), RAP2B (+494972)
chr3|615	ARHGEF26 (-213791), RAP2B (+744972)
chr3|618	MME (-422435), GPR149 (-227497)
chr3|630	VEPH1 (-153785), SHOX2 (+448948)
chr3|636	SCHIP1 (-682649), IQCJ-SCHIP1 (+87948)
chr3|637	SCHIP1 (-432649), IQCJ-SCHIP1 (+337948)
chr3|647	OTOL1 (+410405)
chr3|648	OTOL1 (+660405)
chr3|649	OTOL1 (+910405)
chr3|650	NONE
chr3|651	NONE
chr3|652	NONE
chr3|653	NONE
chr3|654	NONE
chr3|655	NONE
chr3|656	SI (+921282)
chr3|657	SI (+671282)
chr3|658	SI (+421282)
chr3|659	SI (+171282)
chr3|660	SI (-78718), SLITRK3 (+38789)
chr3|661	SLITRK3 (-211211), BCHE (+430259)
chr3|662	SLITRK3 (-461211), BCHE (+180259)
chr3|663	BCHE (-69741)
chr3|664	BCHE (-319741)
chr3|665	BCHE (-569741), ZBBX (+972577)
chr3|666	BCHE (-819741), ZBBX (+722577)
chr3|667	ZBBX (+472577)
chr3|668	ZBBX (+222577)
chr3|669	ZBBX (-27423), SERPINI2 (+71791)
chr3|671	SERPINI1 (+171490), GOLIM4 (+188762)
chr3|674	GOLIM4 (-561238), MECOM (+489092)
chr3|675	GOLIM4 (-811238), MECOM (+239092)
chr3|677	MECOM (-260908), ACTRT3 (+362682)
chr3|691	ECT2 (+156507), SPATA16 (+234057)
chr3|692	NLGN1 (-241237), SPATA16 (-15943)
chr3|693	NLGN1 (+8763)
chr3|694	NLGN1 (+258763)
chr3|695	NAALADL2 (-952069), NLGN1 (+508763)
chr3|696	NAALADL2 (-702069), NLGN1 (+758763)
chr3|697	NAALADL2 (-452069)
chr3|698	NAALADL2 (-202069)
chr3|699	NAALADL2 (+47931)
chr3|700	NAALADL2 (+297931)
chr3|701	NAALADL2 (+547931)
chr3|702	NAALADL2 (+797931)
chr3|703	NONE
chr3|704	NONE
chr3|705	TBL1XR1 (+789265)
chr3|706	TBL1XR1 (+539265)
chr3|707	TBL1XR1 (+289265)
chr3|710	KCNMB2 (-901487), TBL1XR1 (-460735)
chr3|711	TBL1XR1 (-710735), KCNMB2 (-651487)
chr3|712	TBL1XR1 (-960735), KCNMB2 (-401487)
chr3|713	KCNMB2 (-151487)
chr3|714	KCNMB2 (+98513), ZMAT3 (+415066)
chr3|715	ZMAT3 (+165066), KCNMB2 (+348513)
chr3|719	PEX5L (+129717), USP13 (+254458)
chr3|720	TTC14 (-444917), PEX5L (-120283)
chr3|721	PEX5L (-370283), TTC14 (-194917)
chr3|722	CCDC39 (+22287), TTC14 (+55083)
chr3|724	SOX2 (-554721), DNAJC19 (-167440)
chr3|725	DNAJC19 (-417440), SOX2 (-304721)
chr3|726	DNAJC19 (-667440), SOX2 (-54721)
chr3|727	ATP11B (-886287), SOX2 (+195279)
chr3|728	ATP11B (-636287), SOX2 (+445279)
chr3|729	ATP11B (-386287), SOX2 (+695279)
chr3|730	ATP11B (-136287), SOX2 (+945279)
chr3|749	RTP4 (+38881), SST (+263186)
chr3|750	SST (+13186), RTP4 (+288881)
chr3|751	LPP (-305720), BCL6 (-161486)
chr3|753	TPRG1 (-764762), LPP (+194280)
chr3|754	TPRG1 (-514762), LPP (+444280)
chr3|755	TPRG1 (-264762), LPP (+694280)
chr3|756	TPRG1 (-14762), LPP (+944280)
chr3|757	TP63 (-224215), TPRG1 (+235238)
chr3|758	TP63 (+25785), LEPREL1 (+463717)
chr3|759	LEPREL1 (+213717), TP63 (+275785)
chr3|760	LEPREL1 (-36283), CLDN1 (+165263)
chr3|761	CLDN16 (+19340), TMEM207 (+42664)
chr3|762	IL1RAP (+143110), GMNC (+205403)
chr3|763	OSTN (-305321), GMNC (-44597)
chr3|764	GMNC (-294597), OSTN (-55321)
chr3|766	PYDC2 (+196049), FGF12 (+751837)
chr3|767	PYDC2 (+446049), FGF12 (+501837)
chr3|768	FGF12 (+251837), PYDC2 (+696049)
chr3|769	FGF12 (+1837), PYDC2 (+946049)
chr3|770	HRASLS (-583913), FGF12 (-248163)
chr3|772	FGF12 (-748163), HRASLS (-83913)
chr3|773	ATP13A5 (-28369), ATP13A4 (+147910)
chr3|777	GP5 (-5918), ATP13A3 (+94092)
chr3|778	TMEM44 (-20851), LSG1 (+18205)
chr3|779	LSG1 (-231795), XXYLT1 (+366895)
chr3|780	LSG1 (-481795), XXYLT1 (+116895)
chr4|2	ZNF141 (+43377), ZNF721 (+117944)
chr4|18	ENSG00000168824 (+25134), STX18 (+168754)
chr4|19	MSX1 (-236392), STX18 (-81246)
chr4|20	MSX1 (+13608), CYTL1 (+146198)
chr4|23	EVC2 (+85293), C4orf6 (+98118)
chr4|27	MRFAP1 (-16817), MAN2B2 (+48099)
chr4|28	TBC1D14 (-36571), KIAA0232 (+90534)
chr4|29	SORCS2 (-69264), GRPEL1 (-55077)
chr4|30	PSAPL1 (+61699), SORCS2 (+180736)
chr4|32	PSAPL1 (-438301), AFAP1 (+66652)
chr4|41	WDR1 (-6517), ZNF518B (+333983)
chr4|54	RAB28 (+110988)
chr4|55	NKX3-2 (-78327), BOD1L1 (+4346)
chr4|61	C1QTNF7 (-216559), CPEB2 (+120703)
chr4|62	CC2D2A (-96488), C1QTNF7 (+33441)
chr4|63	FBXL5 (+32034), CC2D2A (+153512)
chr4|64	FGFBP1 (+65362), CD38 (+95100)
chr4|65	PROM1 (-39677), TAPT1 (+103163)
chr4|72	NCAPG (+62476), LCORL (+148482)
chr4|73	LCORL (-101518)
chr4|98	PPARGC1A (-483301), DHX15 (+211172)
chr4|100	SOD3 (+77916), LGI2 (+157500)
chr4|103	SLC34A2 (-32465), ANAPC4 (+246166)
chr4|105	RBPJ (-196331), SMIM20 (+209175)
chr4|106	RBPJ (+53669), CCKAR (+117083)
chr4|109	STIM2 (+262538)
chr4|112	NONE
chr4|114	NONE
chr4|115	NONE
chr4|119	NONE
chr4|122	PCDH7 (-348044)
chr4|123	PCDH7 (-98044)
chr4|124	PCDH7 (+151956)
chr4|125	PCDH7 (+401956)
chr4|126	PCDH7 (+651956)
chr4|145	ARAP2 (+121130)
chr4|150	RELL1 (+312997)
chr4|153	KLF3 (-540816), PTTG2 (+162945)
chr4|156	FAM114A1 (+5564), TMEM156 (+159040)
chr4|172	ATP8A1 (-215879), GRXCR1 (-20283)
chr4|173	GRXCR1 (+229717)
chr4|175	GRXCR1 (+729717), KCTD8 (+825823)
chr4|176	KCTD8 (+575823), GRXCR1 (+979717)
chr4|177	KCTD8 (+325823)
chr4|178	KCTD8 (+75823)
chr4|180	GNPDA2 (-146389)
chr4|181	GNPDA2 (-396389)
chr4|183	GNPDA2 (-896389), GABRG1 (+501097)
chr4|185	GABRG1 (+1097)
chr4|186	GABRG1 (-248903), GABRA2 (+102246)
chr4|187	GABRA2 (-147754), COX7B2 (+286223)
chr4|197	CWH43 (+136737)
chr4|213	SPATA18 (+207504), USP46 (+400501)
chr4|314	CXCL13 (-57906), CCNG2 (+296697)
chr4|320	PAQR3 (-14409), NAA11 (+372203)
chr4|327	BMP3 (-327118), FGF5 (+437248)
chr4|362	TIGD2 (+341033), SNCA (+383289)
chr4|366	MMRN1 (+574318)
chr4|368	NONE
chr4|370	GRID2 (-850549)
chr4|371	GRID2 (-600549)
chr4|372	GRID2 (-350549)
chr4|375	GRID2 (+399451)
chr4|377	ATOH1 (-625041), GRID2 (+899451)
chr4|378	ATOH1 (-375041)
chr4|387	UNC5C (-154644), PDHA2 (-136238)
chr4|390	PDHA2 (+613762)
chr4|392	NONE
chr4|393	NONE
chr4|395	RAP1GDS1 (-557668)
chr4|396	RAP1GDS1 (-307668)
chr4|419	CENPE (-505435), TACR3 (+15972)
chr4|420	TACR3 (-234028), CXXC4 (+541050)
chr4|421	TACR3 (-484028), CXXC4 (+291050)
chr4|424	CXXC4 (-458950), TET2 (-192449)
chr4|430	TBCK (-132349), DKK2 (+582453)
chr4|431	TBCK (-382349), DKK2 (+332453)
chr4|433	DKK2 (-167547), PAPSS1 (+516607)
chr4|434	DKK2 (-417547), PAPSS1 (+266607)
chr4|448	PITX2 (-330742)
chr4|449	C4orf32 (-941552), PITX2 (-580742)
chr4|450	PITX2 (-830742), C4orf32 (-691552)
chr4|451	C4orf32 (-441552)
chr4|452	C4orf32 (-191552)
chr4|461	UGT8 (-394610), ARSJ (-224144)
chr4|464	NDST4 (+160031), UGT8 (+355390)
chr4|466	NDST4 (-339969)
chr4|467	NDST4 (-589969)
chr4|468	NDST4 (-839969)
chr4|469	TRAM1L1 (+881735)
chr4|470	TRAM1L1 (+631735)
chr4|471	TRAM1L1 (+381735)
chr4|472	TRAM1L1 (+131735)
chr4|473	NDST3 (-830499), TRAM1L1 (-118265)
chr4|475	TRAM1L1 (-618265), NDST3 (-330499)
chr4|485	MAD2L1 (-136772), PRDM5 (+719003)
chr4|487	MAD2L1 (-636772), PRDM5 (+219003)
chr4|500	SPRY1 (+554336)
chr4|501	SPRY1 (+804336)
chr4|504	FAT4 (-362553)
chr4|507	FAT4 (+387447)
chr4|508	FAT4 (+637447)
chr4|513	INTU (-429086)
chr4|514	INTU (-179086)
chr4|522	SCLT1 (-360239)
chr4|525	NONE
chr4|527	NONE
chr4|528	NONE
chr4|529	NONE
chr4|532	NONE
chr4|533	PCDH10 (-945469)
chr4|536	PCDH10 (-195469)
chr4|538	PCDH10 (+304531), PABPC4L (+747902)
chr4|539	PABPC4L (+497902), PCDH10 (+554531)
chr4|540	PABPC4L (+247902), PCDH10 (+804531)
chr4|543	PABPC4L (-502098)
chr4|544	PABPC4L (-752098)
chr4|546	NONE
chr4|547	NONE
chr4|549	NONE
chr4|550	NONE
chr4|551	PCDH18 (+828628)
chr4|556	PCDH18 (-421372), SLC7A11 (+288502)
chr4|568	TBC1D9 (-197727), RNF150 (+178995)
chr4|573	IL15 (+567246), INPP4B (+642442)
chr4|575	INPP4B (+142442)
chr4|582	GYPA (-313097), HHIP (-192172)
chr4|584	ABCE1 (-144083), HHIP (+307828)
chr4|593	EDNRA (-277083), POU4F2 (+564956)
chr4|597	NR3C2 (+238671), ARHGAP10 (+471787)
chr4|599	NR3C2 (-261329)
chr4|602	DCLK2 (-625179)
chr4|603	DCLK2 (-375179)
chr4|624	NPY2R (-254780), RBM46 (+172636)
chr4|625	NPY2R (-4780)
chr4|630	CTSO (-499932), PDGFC (+517545)
chr4|643	RAPGEF2 (+436112)
chr4|644	RAPGEF2 (+686112)
chr4|645	RAPGEF2 (+936112)
chr4|646	NONE
chr4|647	NONE
chr4|648	NONE
chr4|649	FSTL5 (+960186)
chr4|650	FSTL5 (+710186)
chr4|651	FSTL5 (+460186)
chr4|652	FSTL5 (+210186)
chr4|654	FSTL5 (-289814), NAF1 (+713072)
chr4|655	FSTL5 (-539814), NAF1 (+463072)
chr4|660	TKTL2 (-479954), MARCH1 (+430201)
chr4|662	MARCH1 (-69799), TRIM61 (+523819)
chr4|667	TLL1 (-169409), CPE (+324907)
chr4|668	TLL1 (+80591)
chr4|669	TLL1 (+330591)
chr4|670	TLL1 (+580591), SPOCK3 (+780737)
chr4|671	SPOCK3 (+530737), TLL1 (+830591)
chr4|672	SPOCK3 (+280737)
chr4|674	ANXA10 (-638665), SPOCK3 (-219263)
chr4|675	SPOCK3 (-469263), ANXA10 (-388665)
chr4|676	SPOCK3 (-719263), ANXA10 (-138665)
chr4|682	SH3RF1 (-182745), NEK1 (+158779)
chr4|686	AADAT (-363883)
chr4|687	AADAT (-613883)
chr4|688	AADAT (-863883), GALNTL6 (-859653)
chr4|689	GALNTL6 (-609653)
chr4|690	GALNTL6 (-359653)
chr4|691	GALNTL6 (-109653)
chr4|692	GALNTL6 (+140347)
chr4|693	GALNT7 (-964903), GALNTL6 (+390347)
chr4|694	GALNT7 (-714903), GALNTL6 (+640347)
chr4|695	GALNT7 (-464903), GALNTL6 (+890347)
chr4|696	GALNT7 (-214903)
chr4|699	CEP44 (-580054), HAND2 (-173621)
chr4|700	HAND2 (-423621), CEP44 (-330054)
chr4|704	ADAM29 (+35492)
chr4|705	ADAM29 (+285492), GPM6A (+798482)
chr4|706	ADAM29 (+535492), GPM6A (+548482)
chr4|707	GPM6A (+298482), ADAM29 (+785492)
chr4|710	SPCS3 (+133886), VEGFC (+338880)
chr4|711	VEGFC (+88880), SPCS3 (+383886)
chr4|712	NEIL3 (-355989), VEGFC (-161120)
chr4|715	AGA (-261344)
chr4|716	AGA (-511344)
chr4|717	AGA (-761344)
chr4|718	NONE
chr4|719	NONE
chr4|720	NONE
chr4|721	NONE
chr4|722	NONE
chr4|723	NONE
chr4|724	NONE
chr4|725	NONE
chr4|726	NONE
chr4|727	NONE
chr4|728	NONE
chr4|730	TENM3 (-789581)
chr4|731	TENM3 (-539581)
chr4|732	TENM3 (-289581)
chr4|733	TENM3 (-39581)
chr4|734	TENM3 (+210419), DCTD (+463531)
chr4|735	DCTD (+213531), TENM3 (+460419)
chr4|741	ENPP6 (+14113), STOX2 (+298492)
chr4|744	ACSL1 (-127029), HELT (-65082)
chr4|747	PDLIM3 (-168339), SORBS2 (+252805)
chr4|751	MTNR1A (-148280), FAT1 (+20008)
chr4|753	ZFP42 (-791924), FAT1 (-479992)
chr4|754	FAT1 (-729992), ZFP42 (-541924)
chr4|755	FAT1 (-979992), ZFP42 (-291924)
chr4|756	ZFP42 (-41924)
chr4|757	TRIML1 (+64428)
chr4|758	TRIML1 (+314428)
chr4|759	TRIML1 (+564428)
chr4|760	FRG1 (-986942), TRIML1 (+814428)
chr4|761	FRG1 (-736942)
chr4|762	FRG1 (-486942)
chr5|32	MTRR (+5784)
chr5|34	MTRR (+505784)
chr5|41	TAS2R1 (-494538), FAM173B (+124997)
chr5|44	DAP (-113617)
chr5|57	DNAH5 (-180349), TRIO (-18810)
chr5|58	FAM105B (-289856), TRIO (+231190)
chr5|59	FAM105B (-39856), TRIO (+481190)
chr5|60	ANKH (-3114)
chr5|66	MARCH11 (-195117), ZNF622 (+90900)
chr5|67	FAM134B (-7834), MYO10 (+311371)
chr5|68	FAM134B (-257834), MYO10 (+61371)
chr5|70	BASP1 (+157332)
chr5|75	NONE
chr5|86	CDH18 (-799019)
chr5|95	PRDM9 (+117277)
chr5|98	CDH10 (+270086), PRDM9 (+867277)
chr5|107	CDH9 (+413692)
chr5|108	CDH9 (+163692)
chr5|110	CDH9 (-336308)
chr5|113	NONE
chr5|115	NONE
chr5|124	CDH6 (-318856)
chr5|128	PDZD2 (+235484), GOLPH3 (+299455)
chr5|132	TARS (-566070), NPR3 (+163461)
chr5|135	TARS (+183930), ADAMTS12 (+267296)
chr5|136	ADAMTS12 (+17296), TARS (+433930)
chr5|137	RAI14 (-559658), C1QTNF3 (-81064)
chr5|138	C1QTNF3 (-331064), RAI14 (-309658)
chr5|141	AGXT2 (-76803), PRLR (+105690)
chr5|142	SPEF2 (-242945), PRLR (-144310)
chr5|143	IL7R (-231950), SPEF2 (+7055)
chr5|144	IL7R (+18050), CAPSL (+63880)
chr5|152	EGFLAM (-383510), GDNF (-39072)
chr5|153	GDNF (-289072), EGFLAM (-133510)
chr5|159	DAB2 (-199729)
chr5|160	PTGER4 (-804599), DAB2 (-449729)
chr5|161	DAB2 (-699729), PTGER4 (-554599)
chr5|162	DAB2 (-949729), PTGER4 (-304599)
chr5|163	PTGER4 (-54599)
chr5|165	C6 (+136539), C7 (+215647)
chr5|166	C6 (-113461), PLCXD3 (+135702)
chr5|167	PLCXD3 (-114298), OXCT1 (+245620)
chr5|169	GHR (-298878), FBXO4 (+199645)
chr5|170	GHR (-48878), FBXO4 (+449645)
chr5|176	NNT (+272176), FGF10 (+513898)
chr5|177	FGF10 (+263898), NNT (+522176)
chr5|178	FGF10 (+13898), NNT (+772176)
chr5|179	FGF10 (-236102), MRPS30 (-184026)
chr5|181	MRPS30 (+315974), HCN1 (+571252)
chr5|182	HCN1 (+321252), MRPS30 (+565974)
chr5|183	HCN1 (+71252), MRPS30 (+815974)
chr5|184	HCN1 (-178748)
chr5|233	RAB3C (+246134)
chr5|244	C5orf64 (-58635), ZSWIM6 (+246901)
chr5|246	KIF2A (-227278), C5orf64 (+441365)
chr5|249	LRRC70 (+250439)
chr5|259	ADAMTS6 (+152746), CWC27 (+560244)
chr5|272	SLC30A5 (-514472), PIK3R1 (+363453)
chr5|273	SLC30A5 (-264472), PIK3R1 (+613453)
chr5|293	ARHGEF28 (+203018), ENC1 (+812248)
chr5|324	ACOT12 (-185039), SSBP2 (+172071)
chr5|334	HAPLN1 (-357569), EDIL3 (+305610)
chr5|336	EDIL3 (-194390)
chr5|337	EDIL3 (-444390)
chr5|338	EDIL3 (-694390)
chr5|339	EDIL3 (-944390)
chr5|340	NONE
chr5|341	COX7C (-788772)
chr5|342	COX7C (-538772)
chr5|348	CCNH (-166165), TMEM161B (+689664)
chr5|349	CCNH (-416165), TMEM161B (+439664)
chr5|354	MEF2C (-175102)
chr5|356	MEF2C (-675102), CETN3 (+830602)
chr5|357	MEF2C (-925102), CETN3 (+580602)
chr5|358	CETN3 (+330602)
chr5|364	ARRDC3 (-195825)
chr5|365	ARRDC3 (-445825)
chr5|366	ARRDC3 (-695825)
chr5|367	ARRDC3 (-945825)
chr5|368	NONE
chr5|369	NR2F1 (-794042)
chr5|370	NR2F1 (-544042)
chr5|375	ANKRD32 (-329051), FAM172A (-177661)
chr5|391	RGMB (-479998)
chr5|392	RGMB (-229998)
chr5|395	CHD1 (-362761)
chr5|398	FAM174A (-496008)
chr5|399	FAM174A (-246008)
chr5|402	ST8SIA4 (-136031)
chr5|403	ST8SIA4 (-386031)
chr5|404	ST8SIA4 (-636031), SLCO4C1 (+757252)
chr5|405	ST8SIA4 (-886031), SLCO4C1 (+507252)
chr5|413	NUDT12 (-226507)
chr5|415	NUDT12 (-726507)
chr5|416	NUDT12 (-976507)
chr5|417	NONE
chr5|419	NONE
chr5|420	NONE
chr5|421	NONE
chr5|422	NONE
chr5|423	NONE
chr5|425	EFNA5 (+881595)
chr5|453	KCNN2 (-571641), YTHDC2 (+275621)
chr5|454	KCNN2 (-321641), YTHDC2 (+525621)
chr5|467	SEMA6A (-714371)
chr5|470	NONE
chr5|477	FAM170A (+159708)
chr5|479	FAM170A (+659708)
chr5|481	NONE
chr5|482	FTMT (-812649)
chr5|484	FTMT (-312649)
chr5|491	CEP120 (+133996), PRDM6 (+200185)
chr5|495	ZNF608 (+456117), CSNK1G3 (+777208)
chr5|509	SLC12A2 (-294457), CTXN3 (+140265)
chr5|511	SLC12A2 (+205543), FBN2 (+369877)
chr5|513	SLC27A6 (-175820), FBN2 (-130123)
chr5|515	ADAMTS19 (-170957), ISOC1 (+194557)
chr5|518	CHSY3 (+134836)
chr5|520	HINT1 (+626177), CHSY3 (+634836)
chr5|521	HINT1 (+376177), CHSY3 (+884836)
chr5|576	KCTD16 (+290161)
chr5|577	KCTD16 (+540161)
chr5|578	KCTD16 (+790161), PRELID2 (+839866)
chr5|579	PRELID2 (+589866)
chr5|608	GRIA1 (-996731), NMUR2 (-90161)
chr5|609	GRIA1 (-746731), NMUR2 (-340161)
chr5|610	NMUR2 (-590161), GRIA1 (-496731)
chr5|611	NMUR2 (-840161), GRIA1 (-246731)
chr5|620	SGCD (-878766), KIF4B (+481741)
chr5|621	SGCD (-628766), KIF4B (+731741)
chr5|622	SGCD (-378766), KIF4B (+981741)
chr5|623	SGCD (-128766)
chr5|625	TIMD4 (+265265), SGCD (+371234)
chr5|631	CLINT1 (-338850), EBF1 (+901768)
chr5|632	CLINT1 (-588850), EBF1 (+651768)
chr5|641	ATP10B (+154218), PTTG1 (+276084)
chr5|642	ATP10B (-95782), GABRB2 (+600129)
chr5|645	GABRA1 (-149684), GABRA6 (+12438)
chr5|646	GABRG2 (-119780), GABRA1 (+100316)
chr5|647	GABRG2 (+130220)
chr5|648	CCNG1 (-989586), GABRG2 (+380220)
chr5|649	CCNG1 (-739586), GABRG2 (+630220)
chr5|650	CCNG1 (-489586), GABRG2 (+880220)
chr5|653	MAT2B (+192447)
chr5|654	MAT2B (+442447)
chr5|655	MAT2B (+692447)
chr5|657	NONE
chr5|658	NONE
chr5|659	NONE
chr5|660	NONE
chr5|661	NONE
chr5|662	NONE
chr5|663	NONE
chr5|664	TENM2 (-836803)
chr5|665	TENM2 (-586803)
chr5|666	TENM2 (-336803)
chr5|667	TENM2 (-86803)
chr5|668	WWC1 (-844154), TENM2 (+163197)
chr5|669	WWC1 (-594154), TENM2 (+413197)
chr5|670	WWC1 (-344154), TENM2 (+663197)
chr5|698	MSX2 (+223465), DRD1 (+496210)
chr5|701	CPLX2 (-98312), HRH2 (+39968)
chr5|702	THOC3 (+20301), CPLX2 (+151688)
chr5|705	UNC5A (-112477), TSPAN17 (+50613)
chr5|707	NSD1 (+64075), RAB24 (+105708)
chr5|708	PRR7 (+1205), DBN1 (+25198)
chr5|710	PROP1 (+48242), B4GALT7 (+347900)
chr5|711	NHP2 (-44033), HNRNPAB (-6507)
chr5|712	PHYKPL (-215215), COL23A1 (+142555)
chr5|715	ZNF354C (+137585), ADAMTS2 (+147430)
chr5|717	CANX (-906)
chr5|721	FLT4 (-48377), OR2Y1 (+42098)
chr5|722	BTNL3 (-40844), BTNL8 (+48896)
chr6|33	EEF1E1 (-22190), SLC35B3 (+310715)
chr6|34	EEF1E1 (-272190), SLC35B3 (+60715)
chr6|75	RNF144B (+237420)
chr6|77	ID4 (-712616), RNF144B (+737420)
chr6|84	SOX4 (-718971), CDKAL1 (+340313)
chr6|85	SOX4 (-468971), CDKAL1 (+590313)
chr6|86	SOX4 (-218971), CDKAL1 (+840313)
chr6|89	PRL (+172729), SOX4 (+531029)
chr6|91	PRL (-327271)
chr6|92	PRL (-577271)
chr6|93	PRL (-827271)
chr6|94	NRSN1 (-751349)
chr6|95	NRSN1 (-501349)
chr6|96	NRSN1 (-251349)
chr6|97	NRSN1 (-1349)
chr6|103	SCGN (-27463), LRRC16A (+345345)
chr6|118	OR12D2 (+10585), OR5V1 (+24743)
chr6|188	GPR116 (+14713), MEP1A (+113874)
chr6|192	OPN5 (+125226), PTCHD4 (+161424)
chr6|193	PTCHD4 (-88576)
chr6|194	PTCHD4 (-338576)
chr6|195	PTCHD4 (-588576), MUT (+805903)
chr6|196	PTCHD4 (-838576), MUT (+555903)
chr6|197	MUT (+305903)
chr6|202	DEFB112 (-358637), TFAP2D (-306540)
chr6|206	PKHD1 (+577422), TFAP2B (+588565)
chr6|207	PKHD1 (+327422), TFAP2B (+838565)
chr6|208	PKHD1 (+77422)
chr6|216	MLIP (-8713), LRRC1 (+215223)
chr6|217	TINAG (-48252), MLIP (+241287)
chr6|218	HCRTR2 (-664049), TINAG (+201748)
chr6|220	HCRTR2 (-164049), TINAG (+701748)
chr6|221	GFRAL (-67266), HCRTR2 (+85951)
chr6|222	HMGCLL1 (+68984), GFRAL (+182734)
chr6|224	BMP5 (-134639), COL21A1 (+237543)
chr6|233	PRIM2 (+942579)
chr6|235	NONE
chr6|236	NONE
chr6|295	KCNQ5 (+293481), KHDC1 (+394937)
chr6|314	HTR1B (-201511), ENSG00000269964 (-25374)
chr6|331	IBTK (+332470)
chr6|355	AKIRIN2 (-213074), SPACA1 (-132506)
