# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
chr1|114	EYA3 (+40206), XKR8 (+89028)
chr2|704	CHN1 (-5047), ATF2 (+157933)
chr2|705	ATP5G3 (-75666)
chr2|708	HOXD10 (-106306), HOXD11 (-97013), HOXD12 (-89457), HOXD13 (-82618), KIAA1715 (-7928), EVX2 (+73640)
chr2|709	MTX2 (-9146), HOXD1 (+71694)
chr2|711	HNRNPA3 (-452290), MTX2 (+490854)
chr2|712	HNRNPA3 (-202290), MTX2 (+740854)
chr2|713	NFE2L2 (+4858), HNRNPA3 (+47710)
chr2|716	TTC30A (-391307), PDE11A (+62481)
chr2|717	OSBPL6 (+65793), PRKRA (+190957)
chr2|718	PLEKHA3 (+29806), TTN (+297149)
chr2|721	CCDC141 (-210215), SESTD1 (+4516)
chr2|732	PPP1R1C (+24397), PDE1A (+512303)
chr2|735	DNAJC10 (+44002), FRZB (+106889)
chr2|736	FRZB (-143111), NCKAP1 (+28585)
chr2|750	ITGAV (-79791), ZC3H15 (+24118)
chr2|762	WDR75 (+68842), SLC40A1 (+70612)
chr2|763	OSGEPL1 (+2492), ANKAR (+84290)
chr2|765	HIBCH (+59770), C2orf88 (+79412)
chr2|766	TMEM194B (+24447), MFSD6 (+101920)
chr2|767	GLS (-120552), NAB1 (+111042)
chr2|768	STAT1 (+3975), GLS (+129448)
chr2|771	NABP1 (+81743), SDPR (+86980)
chr2|787	SLC39A10 (+103530), DNAH7 (+308535)
chr2|788	DNAH7 (+58535), SLC39A10 (+353530)
chr2|789	STK17B (-88702), HECW2 (+332334)
chr2|790	STK17B (-338702), HECW2 (+82334)
chr2|791	HECW2 (-167666), GTF3C3 (+39424)
chr2|792	PGAP1 (-83546), ANKRD44 (+300510)
chr2|793	PGAP1 (-333546), ANKRD44 (+50510)
chr2|794	MOB4 (-5555), ENSG00000270757 (+9864)
chr2|803	SATB2 (-302182), FTCDNL1 (+90865)
chr2|804	SPATS2L (-295873), TYW5 (-54542)
chr2|805	TYW5 (-304542), SPATS2L (-45873)
chr2|806	KCTD18 (-215)
chr2|807	BZW1 (-52078), AOX1 (+174410)
chr2|808	ORC2 (-46598), FAM126B (+61391)
chr2|809	CASP8 (+2242), ALS2CR12 (+97100)
chr2|810	STRADB (+58609), TMEM237 (+133239)
chr2|811	MPP4 (-61584), ALS2 (+20911)
chr2|812	FZD7 (-24309), CDK15 (+203699)
chr2|813	SUMO1 (-21670), NOP58 (-5438)
chr2|814	BMPR2 (+133342), ICA1L (+361364)
chr2|815	ICA1L (+111364), BMPR2 (+383342)
chr2|816	CYP20A1 (-228662), CARF (+97884)
chr2|817	ABI2 (-68002), CYP20A1 (+21338)
chr2|818	RAPH1 (+25132), ABI2 (+181998)
chr2|827	NRP2 (+77777), INO80D (+325905)
chr2|828	INO80D (+75905), NRP2 (+327777)
chr2|829	GPR1 (-42253), ZDBF2 (-14386)
chr2|833	CREB1 (-269615), KLF7 (-94332)
chr2|834	KLF7 (-344332), CREB1 (-19615)
chr2|835	FZD5 (+9286), CCNYL1 (+48526)
chr2|836	FZD5 (-240714), PLEKHM3 (+15283)
chr2|837	PIKFYVE (-5990), IDH1 (-5955)
chr2|865	ABCA12 (-121850), ATIC (-51539)
chr2|868	FN1 (-574106), MREG (+3345)
chr2|869	MARCH4 (+111749), XRCC5 (+152814)
chr2|870	IGFBP2 (-123117), RPL37A (+12089)
chr2|876	TNS1 (-66150), RUFY4 (-58977)
chr2|877	GPBAR1 (-737)
chr2|878	USP37 (+58083), VIL1 (+91186)
chr2|879	CYP27A1 (-21478), TTLL4 (+49403)
chr2|880	CRYBA2 (-16866), CCDC108 (+31244)
chr2|895	ACSL3 (-100651), MOGAT1 (+88496)
chr2|902	FAM124B (-108250), CUL3 (+75064)
chr2|914	AGFG1 (+38133), C2orf83 (+122887)
chr2|925	SP140L (-66898), SP140 (+34555)
chr2|927	ITM2C (-104614), CAB39 (+47441)
chr2|928	PSMD1 (-46577), SPATA3 (+14160)
chr2|929	B3GNT7 (-135253), HTR2B (-135169)
chr2|932	ALPP (-368243), DIS3L2 (+48708)
chr2|937	ATG16L1 (-35216), INPP5D (+199812)
chr2|956	UBE2F-SCLY (-716), UBE2F (-596)
chr3|127	STT3B (+50719), OSBPL10 (+397793)
chr3|129	GPD1L (-23002), ZNF860 (+101735)
chr3|130	CMTM7 (-58162), CMTM8 (+94830)
chr3|131	CNOT10 (-112040), DYNC1LI1 (-12635)
chr3|132	CCR4 (-118065), TRIM71 (+15491)
chr3|133	TMPPE (+13292), CCR4 (+131935)
chr3|134	FBXL2 (+56087), UBP1 (+106869)
chr3|136	PDCD6IP (+34935)
chr3|148	DCLK3 (-93649), TRANK1 (+111547)
chr3|149	MLH1 (+90178), LRRFIP2 (+92850)
chr3|150	C3orf35 (-65652), GOLGA4 (+90258)
chr3|152	CTDSPL (-28664), ITGA9 (+381391)
chr3|153	DLEC1 (+44305), ACAA1 (+53698)
chr3|154	XYLB (-13269), SLC22A14 (+27574)
chr3|155	SCN5A (+66162), EXOG (+87238)
chr3|157	GORASP1 (+24853), WDR48 (+31512)
chr3|158	SLC25A38 (-49838), CCR8 (+3804)
chr3|162	ENTPD3 (-53646), EIF1B (+23826)
chr3|163	CTNNB1 (-615929), ZNF621 (+58625)
chr3|165	CTNNB1 (-115929), ZNF621 (+558625)
chr3|169	ULK4 (-121079), TRAK1 (-7561)
chr3|171	SEC22C (-1547)
chr3|172	ACKR2 (+24033), CYP8B1 (+42632)
chr3|173	GTDC2 (+22567), FAM198A (+103961)
chr3|180	TMEM42 (-28360), KIF15 (+71792)
chr3|211	SMIM4 (+54380), PBRM1 (+94851)
chr3|214	TKT (-84963), DCP1A (+6653)
chr3|215	CACNA1D (+95925), CHDH (+255416)
chr3|216	CHDH (+5416), CACNA1D (+345925)
chr3|219	LRTM1 (+337100), CACNA2D3 (+468308)
chr3|220	LRTM1 (+87100), CACNA2D3 (+718308)
chr3|222	LRTM1 (-412900), WNT5A (+148972)
chr3|223	WNT5A (-101028), ERC2 (+877390)
chr3|226	WNT5A (-851028), ERC2 (+127390)
chr3|227	CCDC66 (+33800), ARHGEF3 (+488335)
chr3|228	ARHGEF3 (+238335), CCDC66 (+283800)
chr3|229	ARHGEF3 (-11665), IL17RD (+74402)
chr3|230	ASB14 (-48291), DNAH12 (+155067)
chr3|231	ARF4 (-41866), DENND6A (+53815)
chr3|232	FLNB (-119126), SLMAP (+133044)
chr3|233	DNASE1L3 (+75397), FLNB (+130874)
chr3|234	PDHB (+44578), PXK (+56394)
chr3|235	FAM107A (-61510), FAM3D (+27574)
chr3|237	FAM3D (-472426)
chr3|245	FHIT (+112132)
chr3|265	SLC25A26 (+5716), LRIG1 (+426355)
chr3|266	LRIG1 (+176355), SLC25A26 (+255716)
chr3|267	KBTBD8 (-423730), LRIG1 (-73645)
chr3|271	SUCLG2 (+80033), KBTBD8 (+576270)
chr3|277	TMF1 (-23547), UBA3 (+4558)
chr3|278	LMOD3 (-203284), FRMD4B (+60223)
chr3|285	FOXP1 (+54987)
chr3|286	FOXP1 (-195013), EIF4E3 (+399525)
chr3|287	FOXP1 (-445013), EIF4E3 (+149525)
chr3|288	PROK2 (-40789), RYBP (+621068)
chr3|289	PROK2 (-290789), RYBP (+371068)
chr3|290	PROK2 (-540789), RYBP (+121068)
chr3|291	RYBP (-128932), SHQ1 (+272630)
chr3|292	RYBP (-378932), SHQ1 (+22630)
chr3|293	PPP4R2 (+79065), PDZRN3 (+549090)
chr3|294	PDZRN3 (+299090), PPP4R2 (+329065)
chr3|302	CNTN3 (-804710), FRG2C (-338480)
chr3|399	FILIP1L (+208356), COL8A1 (+267682)
chr3|401	TOMM70A (-4759)
chr3|402	TFG (-53268), GPR128 (+46568)
chr3|405	IMPG2 (-85597), SENP7 (+107027)
chr3|406	ZBTB11 (+21338), PCNP (+82062)
chr3|429	BBX (-116822)
chr3|448	GCSAM (-22900), SLC9C1 (+138104)
chr3|450	CCDC80 (-14885), CD200R1L (+189796)
chr3|451	CD200R1L (-60204), CD200R1 (+68968)
chr3|452	C3orf17 (-136315), BOC (-55328)
chr3|453	SPICE1 (+109002), BOC (+194672)
chr3|454	KIAA2018 (+40492), SIDT1 (+123858)
chr3|455	ZDHHC23 (-41747), GRAMD1C (+67736)
chr3|456	DRD3 (+22898), QTRTD1 (+99419)
chr3|457	ZBTB20 (-22513)
chr3|476	IGSF11 (-121266), UPK1B (-17364)
chr3|477	TMEM39A (+57528), ARHGAP31 (+111781)
chr3|478	POPDC2 (+4436), PLA1A (+58312)
chr3|480	GSK3B (-62488), GPR156 (+128940)
chr3|481	GPR156 (-121060), FSTL1 (+45099)
chr3|482	HGD (+26417), NDUFB4 (+59845)
chr3|486	HCLS1 (+4757), FBXO40 (+63035)
chr3|487	SLC15A2 (+12065), ILDR1 (+116050)
chr3|489	FAM162A (+21972), KPNA1 (+108774)
chr3|490	PARP14 (-24464), PARP15 (+78552)
chr3|491	SEMA5B (+69980), DIRC2 (+111359)
chr3|492	SEC22A (-52168), PDIA5 (+89084)
chr3|493	ADCY5 (+43604), SEC22A (+197832)
chr3|494	PTPLB (-70969), MYLK (+228148)
chr3|498	UMPS (-74212), KALRN (+561473)
chr3|500	HEG1 (-100199), SLC12A8 (+55242)
chr3|501	ZNF148 (-30803), SNX4 (+114040)
chr3|502	OSBPL11 (-61067), ALG1L (+280881)
chr3|503	OSBPL11 (-311067), ALG1L (+30881)
chr3|505	KLF15 (-48716), ZXDC (+69761)
chr3|507	PLXNA1 (-82436), CHCHD6 (+201938)
chr3|512	EEFSEC (+2704), DNAJB8 (+310810)
chr3|517	H1FX (-89881), EFCAB12 (+22493)
chr3|521	COL6A6 (-154177), COL6A5 (+60642)
chr3|523	ATP2C1 (+55551), ASTE1 (+120645)
chr3|525	NUDT16 (+24372), MRPL3 (+96812)
chr3|528	MRPL3 (-653188), ACPP (-161250)
chr3|529	DNAJC13 (-11369), ACPP (+88750)
chr3|530	UBA5 (-3309)
chr3|532	BFSP2 (-243838), TMEM108 (+117766)
chr3|533	CDV3 (-167573), BFSP2 (+6162)
chr3|534	TOPBP1 (+5736), CDV3 (+82427)
chr3|535	RAB6B (-10341), SLCO2A1 (+123919)
chr3|536	SLCO2A1 (-126081), RYK (+94493)
chr3|537	AMOTL2 (-31565), ANAPC13 (+79864)
chr3|538	EPHB1 (-139103), KY (-5137)
chr3|539	EPHB1 (+110897)
chr3|543	PPP2R3A (-59514)
chr3|544	MSL2 (+39687), PPP2R3A (+190486)
chr3|546	STAG1 (+96209), PCCB (+405800)
chr3|547	IL20RB (-51706), NCK1 (+43951)
chr3|550	SOX14 (-108578), IL20RB (+698294)
chr3|551	CLDN18 (-103841), SOX14 (+141422)
chr3|552	A4GNT (-23772), DBR1 (+18790)
chr3|553	ESYT3 (-28454), MRAS (+58462)
chr3|554	FAIM (+47550), PIK3CB (+178593)
chr3|555	PIK3CB (-71407), FOXL2 (+40981)
chr3|556	MRPS22 (+150353), COPB2 (+233573)
chr3|557	COPB2 (-16427), RBP2 (+70357)
chr3|558	RBP1 (-116330), NMNAT3 (+21858)
chr3|559	NMNAT3 (-228142), CLSTN2 (-29026)
chr3|563	SLC25A36 (-35728), TRIM42 (+228120)
chr3|564	ACPL2 (-75669), SPSB4 (+104757)
chr3|565	RASA2 (-80890), ZBTB38 (+18347)
chr3|566	RNF7 (-82045), RASA2 (+169110)
chr3|567	ATP1B3 (+29545), TFDP2 (+243362)
chr3|568	TFDP2 (-6638), GK5 (+69448)
chr3|569	GK5 (-180552), XRN1 (+41903)
chr3|570	TRPC1 (-67915), PLS1 (+32773)
chr3|571	PCOLCE2 (-16956), PAQR9 (+57177)
chr3|572	CHST2 (+36828), SLC9A9 (+692372)
chr3|573	CHST2 (+286828), SLC9A9 (+442372)
chr3|575	C3orf58 (-65639), SLC9A9 (-57628)
chr3|585	PLSCR4 (-156035), PLSCR2 (+62087)
chr3|595	GYG1 (-84127), CPA3 (+41958)
chr3|596	HPS3 (+27630), CP (+64841)
chr3|597	TM4SF4 (-66760), TM4SF1 (-29349)
chr3|598	WWTR1 (+46059), TM4SF4 (+183240)
chr3|599	PFN2 (+63895), RNF13 (+94444)
chr3|600	TSC22D2 (-251121), PFN2 (-186105)
chr3|601	TSC22D2 (-1121)
chr3|602	ENSG00000198843 (+53926), SIAH2 (+106163)
chr3|603	SIAH2 (-143837), CLRN1 (+65494)
chr3|604	GPR171 (+45978), MED12L (+70325)
chr3|605	P2RY12 (-22401), IGSF10 (+51496)
chr3|611	RAP2B (-255028), P2RY1 (+72265)
chr3|612	RAP2B (-5028), P2RY1 (+322265)
chr3|616	ARHGEF26 (+36209), DHX36 (+167285)
chr3|617	DHX36 (-82715), GPR149 (+22503)
chr3|622	PLCH1 (+18827), MME (+577565)
chr3|623	KCNAB1 (-213336), GMPS (+36676)
chr3|625	SSR3 (+147972), KCNAB1 (+286664)
chr3|626	SSR3 (-102028), TIPARP (-17633)
chr3|627	TIPARP (+232367), CCNL1 (+253001)
chr3|628	CCNL1 (+3001), TIPARP (+482367)
chr3|629	CCNL1 (-246999), PTX3 (-29577)
chr3|632	MLF1 (-414048), RSRC1 (+47160)
chr3|634	GFM1 (+12934), LXN (+15481)
chr3|635	IQCJ-SCHIP1 (-162052), MFSD1 (+105347)
chr3|639	IL12A (-81536), SCHIP1 (+67351)
chr3|640	C3orf80 (-68422), IL12A (+168464)
chr3|641	IFT80 (-7681), ENSG00000248710 (+42616)
chr3|642	KPNA4 (-91625), ARL14 (-19947)
chr3|644	NMD3 (-64346), B3GALNT1 (-51862)
chr3|672	GOLIM4 (-61238), MECOM (+989092)
chr3|678	MECOM (-510908), ACTRT3 (+112682)
chr3|679	LRRC34 (-94549), SEC62 (-59552)
chr3|680	PHC3 (+24534), GPR160 (+119284)
chr3|681	CLDN11 (-11652), SKIL (+47590)
chr3|682	SLC7A14 (-71138), RPL22L1 (+213271)
chr3|683	RPL22L1 (-36729), EIF5A2 (+1481)
chr3|685	SLC2A2 (-380462), TNIK (+53196)
chr3|687	FNDC3B (-133343), TMEM212 (+63862)
chr3|688	FNDC3B (+116657), GHSR (+291245)
chr3|689	GHSR (+41245), FNDC3B (+366657)
chr3|690	TNFSF10 (-133704), NCEH1 (+54007)
chr3|717	GNB4 (+44377), MFN1 (+59521)
chr3|718	USP13 (+4458), PEX5L (+379717)
chr3|733	MCF2L2 (+21062), B3GNT5 (+153969)
chr3|734	YEATS2 (-40605), KLHL24 (+21590)
chr3|736	AP2M1 (-17642), DVL3 (+1825)
chr3|737	EPHB3 (-154571), CHRD (+27140)
chr3|738	VPS8 (-154930), EPHB3 (+95429)
chr3|740	EHHADH (+96885), VPS8 (+345070)
chr3|741	MAP3K13 (+44093), TMEM41A (+91844)
chr3|743	IGF2BP2 (-82157), TRA2B (+30923)
chr3|747	ST6GAL1 (-23273), ADIPOQ (+64538)
chr3|782	MUC20 (-72752), APOD (-63925)
chr3|787	SENP5 (+30274), NCBP2 (+44467)
chr3|790	BDH1 (-92143), KIAA0226 (+88589)
chr4|102	ANAPC4 (-3834)
chr4|165	APBB2 (+91548), NSUN7 (+373087)
chr4|168	PHOX2B (-124014), TMEM33 (-62136)
chr4|190	COMMD8 (+90735), GABRB1 (+341624)
chr4|192	CORIN (-35035), NFXL1 (+41555)
chr4|194	SLC10A4 (-110359), SLAIN2 (+31662)
chr4|196	OCIAD2 (+33844), OCIAD1 (+41900)
chr4|211	DCUN1D4 (-84228)
chr4|215	RASL11B (-103456), ERVMER34-1 (-7194)
chr4|218	LNX1 (+82782), FIP1L1 (+131189)
chr4|225	KDR (-133245), SRD5A3 (-87275)
chr4|226	CLOCK (+1193), TMEM165 (+112877)
chr4|227	NMU (-122536), EXOC1 (-94781)
chr4|228	CEP135 (+59854), AASDH (+378665)
chr4|230	ARL9 (+3492), HOPX (+172871)
chr4|231	HOPX (-77129), SPINK2 (+62907)
chr4|232	NOA1 (-30012), IGFBP7 (+101550)
chr4|275	GNRHR (-4923)
chr4|277	TMPRSS11B (-13563), YTHDC1 (+90806)
chr4|287	RUFY3 (+37289), GRSF1 (+80661)
chr4|288	SLC4A4 (-178002), DCK (+15845)
chr4|296	ADAMTS3 (-440485), COX18 (+60457)
chr4|297	ANKRD17 (-499)
chr4|306	THAP6 (-64682), PARM1 (+516675)
chr4|307	G3BP2 (-25848), USO1 (-25003)
chr4|308	NAAA (-12797), SDAD1 (+37112)
chr4|309	NUP54 (-55333), SCARB2 (+10045)
chr4|312	SEPT11 (+4145), CCNI (+122157)
chr4|313	CXCL13 (-307906), CCNG2 (+46697)
chr4|315	CNOT6L (+115543), CXCL13 (+192094)
chr4|316	FRAS1 (-103723), MRPL1 (+91327)
chr4|319	BMP2K (-72531), ANXA3 (+152328)
chr4|333	RASGEF1B (-731932), HNRNPD (+170108)
chr4|334	ENOPH1 (+23286), TMEM150C (+108366)
chr4|335	TMEM150C (-141634), SCD5 (+95009)
chr4|336	THAP9 (+53096), LIN54 (+56981)
chr4|337	PLAC8 (-89133), COQ2 (+81066)
chr4|338	MRPS18C (-2117), HELQ (+2008)
chr4|343	CDS1 (+120869), WDFY3 (+262543)
chr4|344	WDFY3 (+12543), CDS1 (+370869)
chr4|346	WDFY3 (-487457), ARHGAP24 (-21266)
chr4|351	PTPN13 (+109533), SLC10A6 (+145415)
chr4|352	AFF1 (+18847), KLHL8 (+266759)
chr4|353	KLHL8 (+16759), AFF1 (+268847)
chr4|354	NUDT9 (+31267), SPARCL1 (+75654)
chr4|355	IBSP (-95732), DMP1 (+53542)
chr4|357	ABCG2 (-44937), PPM1K (+80887)
chr4|358	HERC5 (-3267)
chr4|359	NAP1L5 (-5615), FAM13A (+353322)
chr4|360	NAP1L5 (-255615), FAM13A (+103322)
chr4|361	TIGD2 (+91033), SNCA (+633289)
chr4|381	SMARCAD1 (-3761)
chr4|382	PDLIM5 (-1395)
chr4|397	RAP1GDS1 (-57668)
chr4|400	METAP1 (-41770), EIF4E (-24717)
chr4|401	ADH4 (-59553), ADH6 (+15402)
chr4|402	ADH7 (-18710), TRMT10A (+109824)
chr4|403	DAPP1 (-113002), MTTP (+139761)
chr4|404	H2AFZ (-3456)
chr4|410	BANK1 (-336763), PPP3CA (-106364)
chr4|414	SLC39A8 (-108705), NFKB1 (-47485)
chr4|416	SLC9B1 (+65895), CISD2 (+84866)
chr4|417	CENPE (-5435), TACR3 (+515972)
chr4|418	CENPE (-255435), TACR3 (+265972)
chr4|427	GSTCD (-4974)
chr4|428	AIMP1 (-362663), NPNT (+58403)
chr4|429	AIMP1 (-112663), NPNT (+308403)
chr4|435	DKK2 (-667547), PAPSS1 (+16607)
chr4|436	HADH (-35869), CYP2U1 (+22476)
chr4|437	RPL34 (-416811), LEF1 (-35423)
chr4|439	OSTC (+53198), ETNPPL (+59208)
chr4|442	CCDC109B (-106360), SEC24B (+20030)
chr4|443	CASP6 (-372)
chr4|445	ENPEP (-272228), ELOVL6 (-5192)
chr4|446	ELOVL6 (-255192), ENPEP (-22228)
chr4|453	AP1AR (-27892), C4orf32 (+58448)
chr4|454	NEUROG2 (+62327), ALPK1 (+156502)
chr4|455	ANK2 (-345831), LARP7 (+66719)
chr4|459	CAMK2D (+57223), ANK2 (+654169)
chr4|460	CAMK2D (-192777), ARSJ (+25856)
chr4|477	PRSS12 (+149157), NDST3 (+169501)
chr4|478	METTL14 (-231522), PRSS12 (-100843)
chr4|479	METTL14 (+18478), SEC24D (+132292)
chr4|480	MYOZ2 (-181938), SYNPO2 (+65005)
chr4|481	USP53 (-35370), MYOZ2 (+68062)
chr4|482	FABP2 (-131456), PDE5A (+175145)
chr4|483	PDE5A (-74855), MAD2L1 (+363228)
chr4|484	PDE5A (-324855), MAD2L1 (+113228)
chr4|491	ANXA5 (-6733), TMEM155 (+61339)
chr4|492	TRPC3 (-2092)
chr4|493	ADAD1 (-175167), KIAA1109 (+51513)
chr4|495	IL21 (-82777), BBS12 (-28856)
chr4|496	SPRY1 (-445664), SPATA5 (+30772)
chr4|498	SPRY1 (+54336)
chr4|503	FAT4 (-612553)
chr4|505	FAT4 (-112553)
chr4|515	SLC25A31 (-26532), INTU (+70914)
chr4|516	C4orf29 (-11460), PLK4 (+72985)
chr4|517	PGRMC2 (+84983), LARP1B (+142578)
chr4|518	PHF17 (-355778), PGRMC2 (-165017)
chr4|519	PGRMC2 (-415017), PHF17 (-105778)
chr4|521	SCLT1 (-110239)
chr4|557	PCDH18 (-671372), SLC7A11 (+38502)
chr4|560	SLC7A11 (-711498), CCRN4L (-61942)
chr4|561	ELF2 (-26629), MGARP (+76491)
chr4|562	RAB33B (+40)
chr4|563	MGST2 (+38079), MAML3 (+450337)
chr4|565	SCOC (-169663), MAML3 (-49663)
chr4|566	CLGN (-25879), ENSG00000205301 (+44375)
chr4|567	UCP1 (-135042), TBC1D9 (+52273)
chr4|569	RNF150 (-71005), ZNF330 (-17040)
chr4|576	USP38 (-231097), INPP4B (-107558)
chr4|577	GAB1 (-132914), USP38 (+18903)
chr4|578	SMARCA5 (-59615), GAB1 (+117086)
chr4|579	FREM3 (-3173)
chr4|580	GYPE (-48289), GYPB (+65491)
chr4|585	SMAD1 (-278962), OTUD4 (-24169)
chr4|586	OTUD4 (-274169), SMAD1 (-28962)
chr4|587	MMAA (+85586), ZNF827 (+234622)
chr4|588	LSM6 (-221880), ZNF827 (-15378)
chr4|589	LSM6 (+28120), SLC10A7 (+318084)
chr4|590	SLC10A7 (+68084), LSM6 (+278120)
chr4|594	EDNRA (-27083), POU4F2 (+814956)
chr4|595	ARHGAP10 (-28213), PRMT10 (-19620)
chr4|596	ARHGAP10 (+221787), NR3C2 (+488671)
chr4|598	NR3C2 (-11329)
chr4|605	MAB21L2 (-378076), DCLK2 (+124821)
chr4|608	LRBA (+61648), MAB21L2 (+371924)
chr4|609	SH3D19 (+22659), RPS3A (+104276)
chr4|610	PRSS48 (+176678), PET112 (+307174)
chr4|611	PET112 (+57174), PRSS48 (+426678)
chr4|619	TLR2 (+2349), RNF175 (+56386)
chr4|622	DCHS2 (-62552), PLRG1 (+96586)
chr4|626	GUCY1A3 (-213349), MAP9 (-76879)
chr4|637	FAM198B (-30799), TMEM144 (-6400)
chr4|639	PPID (+19547), ETFDH (+31724)
chr4|640	RAPGEF2 (-313888), FNIP2 (+184711)
chr4|641	RAPGEF2 (-63888), FNIP2 (+434711)
chr4|657	NAF1 (-36928), NPY1R (+129013)
chr4|658	TKTL2 (+20046), NPY5R (+109747)
chr4|665	TMEM192 (-90930), KLHL2 (-6044)
chr4|666	TLL1 (-419409), CPE (+74907)
chr4|677	ANXA10 (+111335), DDX60 (+114957)
chr4|680	CBR4 (+56408), PALLD (+456746)
chr4|683	C4orf27 (+54103), CLCN3 (+83324)
chr4|684	C4orf27 (-195897), MFAP3L (+72558)
chr4|697	GALNT7 (+35097), HMGB2 (+131275)
chr4|709	SPATA4 (-8179), ASB5 (+65372)
chr4|714	AGA (-11344)
chr4|742	ENPP6 (-235887), IRF2 (+20733)
chr4|745	SNX25 (-390)
chr4|746	UFSP2 (-27862), CCDC110 (+17912)
chr5|127	DROSHA (-92833), PDZD2 (-14516)
chr5|150	NUP155 (-3718)
chr5|164	C7 (-34353), CARD6 (+33715)
chr5|173	ENSG00000177453 (-67953), ZNF131 (+3301)
chr5|174	HMGCS1 (-61406), CCL28 (+37492)
chr5|175	NNT (+22176), FGF10 (+763898)
chr5|200	EMB (-137800), PARP8 (-87771)
chr5|210	MOCS2 (+30588), ITGA2 (+89845)
chr5|213	NDUFS4 (+268536), ARL15 (+481402)
chr5|215	HSPB3 (-126444), ARL15 (-18598)
chr5|216	SNX18 (+61408), ESM1 (+406490)
chr5|219	SKIV2L2 (+21413), PPAP2A (+205796)
chr5|226	GPBP1 (-134947), MIER3 (-127049)
chr5|241	DEPDC1B (-129013), ELOVL7 (+15215)
chr5|243	ZSWIM6 (-3099)
chr5|247	KIF2A (+22722), DIMT1 (+74759)
chr5|257	CWC27 (+60244), ADAMTS6 (+652746)
chr5|260	PPWD1 (+15935), TRIM23 (+45472)
chr5|261	ERBB2IP (-97600), NLN (+106978)
chr5|262	SREK1 (-65045), ERBB2IP (+152400)
chr5|264	MAST4 (-17188), SREK1 (+434955)
chr5|266	CD180 (+117626), MAST4 (+482812)
chr5|284	MCCC2 (-8123), BDP1 (+123559)
chr5|287	PTCD2 (+8807), ZNF366 (+178553)
chr5|289	FCHO2 (-126807), TNPO1 (+12862)
chr5|292	ARHGEF28 (-46982), UTP15 (+13435)
chr5|301	SV2C (-253996), POC5 (-111695)
chr5|306	ZBED3 (+8147), AGGF1 (+48791)
chr5|315	JMY (+92989), HOMER1 (+185039)
chr5|316	HOMER1 (-64961), PAPD4 (-33242)
chr5|318	THBS4 (+43830), SERINC5 (+176897)
chr5|319	ZFYVE16 (-78831), SPZ1 (+9211)
chr5|320	ANKRD34B (-8694), MTRNR2L2 (+71854)
chr5|323	ZCCHC9 (+27579), ACOT12 (+64961)
chr5|325	ATG10 (-142843), SSBP2 (-77929)
chr5|326	ATG10 (+107157), RPS23 (+199395)
chr5|327	ATP6AP1L (+49720), TMEM167A (+748314)
chr5|330	TMEM167A (-1686), XRCC4 (+1589)
chr5|344	COX7C (-38772)
chr5|347	RASA1 (+61296), CCNH (+83835)
chr5|351	TMEM161B (-60336), MEF2C (+574898)
chr5|352	TMEM161B (-310336), MEF2C (+324898)
chr5|359	CETN3 (+80602)
chr5|360	GPR98 (+20384), ARRDC3 (+804175)
chr5|362	ARRDC3 (+304175), GPR98 (+520384)
chr5|363	ARRDC3 (+54175), GPR98 (+770384)
chr5|372	NR2F1 (-44042)
chr5|374	POU5F2 (-297658), FAM172A (+72339)
chr5|376	FAM172A (-427661), ANKRD32 (-79051)
chr5|379	MCTP1 (-4722)
chr5|380	MCTP1 (-254722), TTC37 (+15710)
chr5|381	GLRX (+33417), RHOBTB3 (+58122)
chr5|382	ELL2 (-77226), PCSK1 (+393983)
chr5|384	CAST (-122940), PCSK1 (-106017)
chr5|385	ERAP1 (+18802), CAST (+127060)
chr5|386	LNPEP (+103833), RIOK2 (+143963)
chr5|387	RIOK2 (-106037)
chr5|393	RGMB (+20002), CHD1 (+137239)
chr5|394	CHD1 (-112761)
chr5|400	FAM174A (+3992), ST8SIA4 (+363969)
chr5|407	SLCO4C1 (+7252)
chr5|410	GIN1 (+80854), PAM (+173287)
chr5|411	C5orf30 (+30598), NUDT12 (+273493)
chr5|412	NUDT12 (+23493), C5orf30 (+280598)
chr5|428	EFNA5 (+131595)
chr5|429	FER (-958522), EFNA5 (-118405)
chr5|431	EFNA5 (-618405), FER (-458522)
chr5|433	FER (+41478), PJA2 (+620694)
chr5|435	PJA2 (+120694), FER (+541478)
chr5|437	MAN2A1 (+99934), TMEM232 (+937365)
chr5|441	TSLP (-282389), SLC25A46 (+50306)
chr5|442	TSLP (-32389), SLC25A46 (+300306)
chr5|444	STARD4 (-26793), NREP (+437627)
chr5|445	STARD4 (-276793), NREP (+187627)
chr5|446	NREP (-62373), EPB41L4A (+380012)
chr5|447	NREP (-312373), EPB41L4A (+130012)
chr5|448	APC (-168217), EPB41L4A (-119988)
chr5|449	SRP19 (-71918), APC (+81783)
chr5|450	DCP2 (+62568), TSSK1B (+395727)
chr5|451	TSSK1B (+145727), DCP2 (+312568)
chr5|452	KCNN2 (-821641), YTHDC2 (+25621)
chr5|459	PGGT1B (-26432), FEM1C (+255590)
chr5|460	PGGT1B (-276432), FEM1C (+5590)
chr5|461	TICAM2 (-163125), CDO1 (+27650)
chr5|462	COMMD10 (-45687), ENSG00000172901 (+76810)
